"","PLOT_ID","specie","G_sp","N_sp","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","INVENTORY_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","Fecha_IFN2","Anyo_IFN2","EXEC_TIME"
"12264","24_1097","26",4064.0625,31.8309886183791,26,NA,NA,4064.0625,NA,NA,31.8309886183791,NA,NA,405.845104884333,159.154943091895,0.40640625,31.8309886183791,0,0,31.8309886183791,0,0,0,0,0,0,12.75,5,12.75,5,1617,24,1097,NA,930126,3,1,1,2,2,"S",930205,3,159,2,"0159J11","728","4723",92,210,"2","2","0","0","11",11,2,2,9,1,"00",45,25,6,7,3,2,25,26,3,3,3,3,NA,NA,NA,NA,NA,NA,25,1,2,15,26,1,2,15,NA,NA,NA,NA,25,26,21,NA,NA,NA,NA,3,4,"W","20",NA,NA,NA,"1",1,2,NA,1,NA,0,0,NA,NA,"01",240,NA,"1.75",NA,"IFN2",15,210,26,"19930126",1993,10
"12273","24_1128","26",593084.305555556,1068.10650697228,26,NA,NA,593084.305555556,NA,NA,1068.10650697228,NA,NA,27503.3888768848,12293.8351597206,59.3084305555556,1068.10650697228,0,0,159.154943091895,159.154943091895,282.942121052258,311.236333157484,113.176848420903,42.4413181578388,0,25.7496688741722,11.5099337748344,26.5892443274961,13.5,195,24,1128,NA,921117,3,63,5,0,1,"S",921124,3,159,2,"0159L11","729","4717",92,210,"2","2","0","0","12",12,3,3,9,1,"00",85,26,6,7,3,4,25,21,3,3,3,3,NA,NA,NA,NA,NA,NA,26,3,6,NA,21,3,2,NA,NA,NA,NA,NA,26,21,NA,NA,NA,NA,NA,3,5,"W","20",NA,NA,NA,"1",1,2,NA,1,NA,0,0,NA,NA,"M414",5,NA,"2.75",NA,"IFN2",19,210,26,"19921117",1992,11
"12291","24_1149","21",62903.625,636.619772367581,26,21,25,80076.5416666667,62903.625,29523.25,229.89047335496,636.619772367581,381.971863420549,15416.8088208349,7519.18686696377,17.2503416666667,1248.48210914309,0,827.605704077856,254.647908947033,95.4929658551372,42.4413181578388,28.2942121052258,0,0,0,12.3484419263456,6.02266288951841,13.2636406882103,7.98275862068965,205,24,1149,NA,921118,3,24,6,1,2,"S",921125,3,159,2,"0159M11","729","4711",92,23,"6","6","0","0","11",11,3,2,9,1,"00",85,26,8,4,0,4,25,21,2,4,0,3,NA,25,NA,1,NA,3,26,3,6,NA,21,3,6,NA,25,3,6,NA,26,21,25,NA,NA,NA,NA,2,2,"W","20",NA,NA,NA,"1",1,2,NA,0,NA,0,0,NA,NA,"01",68,NA,"2.25",NA,"IFN2",15,23,26,"19921118",1992,10
"12314","24_1160","26",258670.888888889,636.619772367581,26,NA,NA,258670.888888889,NA,NA,636.619772367581,NA,NA,14245.0747620273,6083.25560262356,25.8670888888889,636.619772367581,0,0,31.8309886183791,222.816920328653,297.089227104871,84.8826363156775,0,0,0,22.3761111111111,9.55555555555556,22.7451484448394,10.375,1649,24,1160,NA,930126,3,35,5,1,2,"S",930208,3,160,2,"0160J08","259","4728",92,123,"2","2","0","0","10",10,1,2,9,1,"40",70,26,7,8,1,4,25,21,2,2,0,4,21,NA,"1",NA,0,NA,26,1,2,30,21,1,2,30,NA,NA,NA,NA,26,21,43,NA,NA,NA,NA,2,4,"W","20",NA,NA,NA,"1",1,2,NA,2,NA,3,0,NA,NA,"01",235,NA,"1.00",NA,"IFN2",30,123,26,"19930126",1993,10
"12328","24_1173","26",503028.75,1885.10188151067,26,NA,NA,503028.75,NA,NA,1885.10188151067,NA,NA,34019.5459247183,17390.3301151744,50.302875,1885.10188151067,0,127.323954473516,636.619772367581,923.098669932993,198.059484736581,0,0,0,0,18.0465290806754,9.22514071294559,18.43249180717,10.1875,223,24,1173,NA,921118,3,64,5,0,1,"S",921125,3,160,2,"0160K08","258","4719",92,15,"6","6","0","0","09",9,1,1,9,1,"90",85,26,0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,30,NA,NA,NA,NA,NA,NA,NA,NA,26,43,NA,NA,NA,NA,NA,2,5,"G","20",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"01",345,NA,"0.25",NA,"IFN2",30,15,26,"19921118",1992,11
"12371","24_1216","25",192372.381944444,1032.73874184074,26,25,NA,351397.055555556,192372.381944444,NA,1906.32254058959,1032.73874184074,NA,43114.8972447688,24474.4934710203,54.37694375,2939.06128243033,0,1145.91559026165,923.098669932993,700.281749604339,141.471060526129,28.2942121052258,0,0,0,14.669614921781,8.32731648616125,15.3482242414105,10.5625,262,24,1216,NA,921119,3,72,6,1,2,"S",921126,3,161,2,"0161J04","275","4724",92,133,"2","2","0","0","10",10,2,3,9,1,"50",90,25,5,5,1,3,26,26,3,5,0,3,21,NA,"1",NA,0,NA,25,1,2,25,26,1,2,25,NA,NA,NA,NA,25,26,43,NA,NA,NA,NA,1,9,"G","20",NA,NA,NA,"1",1,2,NA,0,3,4,0,NA,NA,"G402",155,NA,"2.75",NA,"IFN2",25,133,26,"19921119",1992,11
"12577","24_1441","21",22699.125,190.985931710274,26,25,21,226011.472222222,76798.1597222222,22699.125,417.339628552081,346.604098289017,190.985931710274,19468.3631554776,12069.2498511354,33.1749756944444,1082.25361302489,0,381.971863420549,127.323954473516,190.985931710274,198.059484736581,169.765272631355,14.1471060526129,0,0,17.9887254901961,11.1519607843137,19.7558556306566,12.5,446,24,1441,NA,921123,3,40,6,2,1,"S",921130,3,196,2,"0196J11","343","4707",92,229,"6","6","0","0","09",9,2,1,9,1,"00",90,26,4,4,0,4,26,25,4,3,0,4,25,21,"2",2,0,3,26,3,1,NA,25,3,1,NA,21,3,1,NA,26,25,21,43,NA,NA,NA,2,4,"W","20",NA,NA,NA,"1",1,3,NA,0,3,4,4,NA,NA,"M402",15,NA,"0.50",NA,"IFN2",30,229,26,"19921123",1992,10
"12672","24_1587","26",82420.4722222222,498.685488354605,26,NA,NA,82420.4722222222,NA,NA,498.685488354605,NA,NA,6383.88160624158,3207.85629742998,8.24204722222222,498.685488354605,0,381.971863420549,31.8309886183791,0,28.2942121052258,56.5884242104517,0,0,0,12.8014184397163,6.43262411347518,14.5063864634495,8.93939393939394,582,24,1587,NA,921201,2,10,5,1,2,"S",921209,2,230,1,"0230M13","732","4677",92,47,"2","2","0","0","09",9,3,3,9,1,"00",40,26,0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,1,2,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,0,4,NA,NA,"G912",110,NA,"3.25",NA,"IFN2",4,47,26,"19921201",1992,11
"12676","24_1597","21",106166.069444444,491.611935328299,26,21,NA,158914.836111111,106166.069444444,NA,229.466060173382,491.611935328299,NA,14552.0245220508,7243.31829893781,26.5080905555556,721.07799550168,0,31.8309886183791,350.14087480217,159.154943091895,70.7355302630646,28.2942121052258,42.4413181578388,28.2942121052258,10.1859163578813,20.1809299587993,10.0451245830881,21.6348137450683,11.2046632124352,592,24,1597,NA,921201,2,31,5,1,1,"S",921209,2,230,1,"0230M13","731","4673",92,47,"2","2","0","0","10",10,4,3,9,1,"00",70,21,0,5,4,3,26,26,0,5,4,4,NA,NA,NA,NA,NA,NA,21,1,1,30,26,3,1,NA,NA,NA,NA,NA,21,26,NA,NA,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,2,NA,0,NA,4,0,NA,NA,"01",4,NA,"3.50",NA,"IFN2",30,47,26,"19921201",1992,11
"12755","24_604","26",5148.0625,31.8309886183791,26,NA,NA,5148.0625,NA,NA,31.8309886183791,NA,NA,456.77468667374,238.732414637843,0.51480625,31.8309886183791,0,0,31.8309886183791,0,0,0,0,0,0,14.35,7.5,14.35,7.5,1233,24,604,NA,930129,2,1,0,1,2,"S",930222,3,126,1,"0126M09","697","4729",92,72,"6","6","0","0","08",8,4,4,9,1,"25",15,26,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,2,2,"W","15",NA,NA,NA,"1",1,1,NA,3,NA,0,1,NA,NA,"G912",127,NA,"5.50",NA,"IFN2",5,72,26,"19930129",1993,10
