"","PLOT_ID","specie","G_sp","N_sp","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","INVENTORY_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","Fecha_IFN2","Anyo_IFN2","EXEC_TIME"
"685","1_687","21",125459.770833333,297.089227104871,26,21,73,187448.763888889,125459.770833333,67951.125,290.015674078565,297.089227104871,381.971863420549,23778.9863697088,13858.8587667909,41.6650784722222,1223.72467355102,0,254.647908947033,254.647908947033,332.456992236404,169.765272631355,141.471060526129,56.5884242104517,14.1471060526129,0,19.4316473988439,11.3251445086705,20.8208906388324,12.75,683,1,687,0,960705,0,48,4,4,1,NA,960705,0,112,1,"0112419","539","4752",96,13,"0","6","0","0","05",5,0,2,1,1,"05",90,26,5,5,4,4,25,21,5,4,4,4,0,NA,"0",NA,0,NA,26,1,2,24,21,1,2,24,NA,NA,NA,NA,26,21,41,44,73,3,95,3,1,"W","20",1,NA,NA,NA,1,2,0,NA,0,NA,0,NA,NA,"01",2,NA,"01,25",NA,"IFN2",24,13,26,"19960705",1996,9
"835","10_1151","26",31552.2569444444,187.449155197121,26,NA,NA,31552.2569444444,NA,NA,187.449155197121,NA,NA,2488.29911582895,882.425740031731,3.15522569444444,187.449155197121,0,127.323954473516,31.8309886183791,0,14.1471060526129,14.1471060526129,0,0,0,13.2745283018868,4.70754716981132,14.6395770765802,4.70754716981132,948,10,1151,0,911223,NA,NA,NA,NA,NA,"2",911226,NA,599,2,"0599M09","277","4433",90,180,"6","6","0","0","02",2,1,1,9,1,"80",50,26,3,0,4,3,26,NA,7,NA,3,NA,NA,NA,NA,NA,NA,NA,26,2,2,20,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,1,2,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"01",290,NA,"0.25",NA,"IFN2",20,180,26,"19911223",1991,10
"869","10_131","26",99720.8333333333,169.765272631355,26,NA,NA,99720.8333333333,NA,NA,169.765272631355,NA,NA,4606.29773073077,1909.85931710274,9.97208333333333,169.765272631355,0,0,0,14.1471060526129,99.0297423682904,42.4413181578388,14.1471060526129,0,0,27.1333333333333,11.25,27.3478746889041,11.5625,2516,10,131,0,911218,NA,NA,NA,NA,NA,"6",911227,NA,551,2,"0551L11","733","4473",90,135,"3","3","0","0","10",10,5,5,9,1,"80",60,26,0,9,3,4,NA,45,NA,1,NA,2,NA,NA,NA,NA,NA,NA,26,3,1,NA,45,3,6,NA,NA,NA,NA,NA,26,45,NA,NA,NA,NA,NA,2,2,"W","20",NA,NA,NA,"1",1,2,NA,0,NA,0,0,NA,NA,"M912",170,NA,"9.00",NA,"IFN2",30,135,26,"19911218",1991,10
"889","10_1710","26",11203.5625,63.6619772367581,26,NA,NA,11203.5625,NA,NA,63.6619772367581,NA,NA,946.971911396777,509.295817894065,1.12035625,63.6619772367581,0,0,63.6619772367581,0,0,0,0,0,0,14.875,8,14.9690096532803,8,1461,10,1710,0,911223,NA,NA,NA,NA,NA,"3",911227,NA,650,2,"0650J06","720","4412",90,151,"5","5","0","0","04",4,3,3,9,1,"70",30,26,0,9,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,15,NA,NA,NA,NA,NA,NA,NA,NA,26,68,46,NA,NA,NA,NA,3,3,"W","16",NA,NA,NA,"1",1,2,NA,1,NA,4,9,NA,"P112","M912",123,NA,"4.00",NA,"IFN2",15,151,26,"19911223",1991,10
"895","10_185","26",148989.8125,1623.38041953733,26,NA,NA,148989.8125,NA,NA,1623.38041953733,NA,NA,16977.0577796125,10615.6347042294,14.89898125,1623.38041953733,0,1145.91559026165,445.633840657307,31.8309886183791,0,0,0,0,0,10.4578431372549,6.53921568627451,10.8099377843705,7,2567,10,185,0,911218,NA,NA,NA,NA,NA,"6",920107,NA,551,2,"0551M02","712","4470",90,156,"4","4","0","0","09",9,4,4,9,1,"80",60,26,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,1,21,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,2,2,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"G914",310,NA,"5.25",NA,"IFN2",21,156,26,"19911218",1991,10
"896","10_187","26",127470.1875,1336.90152197192,26,NA,NA,127470.1875,NA,NA,1336.90152197192,NA,NA,14570.635040063,6970.98650742502,12.74701875,1336.90152197192,0,1145.91559026165,190.985931710274,0,0,0,0,0,0,10.8988095238095,5.21428571428571,11.0181749201684,6.875,2569,10,187,0,911218,NA,NA,NA,NA,NA,"6",920107,NA,551,2,"0551M02","714","4470",90,156,"6","6","0","0","09",9,3,3,9,1,"80",60,26,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,2,4,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,2,0,NA,NA,"G914",387,NA,"2.50",NA,"IFN2",20,156,26,"19911218",1991,10
"905","10_1924","26",10920.25,127.323954473516,26,NA,NA,10920.25,NA,NA,127.323954473516,NA,NA,1330.53532424824,509.295817894065,1.092025,127.323954473516,0,127.323954473516,0,0,0,0,0,0,0,10.45,4,10.45,4,3307,10,1924,NA,920616,1,1,1,1,2,"S",920624,1,652,2,"0652K09","273","4403",90,97,"5","5","0","0","04",4,4,5,9,1,"00",15,26,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2,2,20,NA,NA,NA,NA,NA,NA,NA,NA,26,45,NA,NA,NA,NA,NA,3,2,"W","20",NA,NA,NA,"1",1,1,NA,1,NA,0,0,NA,NA,"01",318,NA,"8.00",NA,"IFN2",20,97,26,"19920616",1992,9
"915","10_1930","26",44952.25,509.295817894065,26,NA,NA,44952.25,NA,NA,509.295817894065,NA,NA,5379.43707650606,2546.47908947033,4.495225,509.295817894065,0,509.295817894065,0,0,0,0,0,0,0,10.5625,5,10.6009728327168,5,1667,10,1930,0,911224,NA,4,4,1,3,"3",911230,NA,652,2,"0652L09","273","4402",90,97,"5","5","0","0","03",3,2,5,9,1,"00",60,26,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2,2,20,NA,NA,NA,NA,NA,NA,NA,NA,26,45,NA,NA,NA,NA,NA,2,4,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"01",277,NA,"10.00",NA,"IFN2",20,97,26,"19911224",1991,10
"916","10_1934","26",253951.666666667,640.156548880735,26,46,NA,253951.666666667,16322.0625,NA,640.156548880735,159.154943091895,NA,15384.0936380883,8021.40913183152,27.0273729166667,799.31149197263,0,254.647908947033,159.154943091895,31.8309886183791,226.353696841807,99.0297423682904,28.2942121052258,0,0,19.2466814159292,10.0353982300885,20.7490849035875,12.3125,1671,10,1934,0,911224,NA,NA,NA,NA,NA,"3",911230,NA,652,2,"0652L05","264","4401",90,57,"5","5","0","0","06",6,5,5,9,1,"60",90,26,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,46,15,NA,NA,NA,NA,2,4,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"01",254,NA,"10.50",NA,"IFN2",20,57,26,"19911224",1991,10
"918","10_1942","26",57222.8888888889,84.8826363156775,26,NA,NA,57222.8888888889,NA,NA,84.8826363156775,NA,NA,2454.52290012834,807.799755604198,5.72228888888889,84.8826363156775,0,0,0,0,56.5884242104517,14.1471060526129,0,14.1471060526129,0,28.9166666666667,9.51666666666667,29.2974970489517,9.51666666666667,1679,10,1942,0,911224,NA,NA,NA,NA,NA,"3",911230,NA,652,2,"0652L06","265","4400",90,57,"5","5","0","0","06",6,4,5,9,1,"60",40,26,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2,2,25,NA,NA,NA,NA,NA,NA,NA,NA,26,46,NA,NA,NA,NA,NA,2,3,"W","16",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"01",202,NA,"8.50",NA,"IFN2",25,57,26,"19911224",1991,10
"941","10_2019","26",28744.4375,159.154943091895,26,NA,NA,28744.4375,NA,NA,159.154943091895,NA,NA,2404.83119011854,1002.67614147894,2.87444375,159.154943091895,0,0,159.154943091895,0,0,0,0,0,0,15.11,6.3,15.1642836955789,6.375,1749,10,2019,0,911225,NA,NA,NA,NA,NA,"3",911230,NA,653,2,"0653L05","294","4399",90,141,"5","5","0","0","06",6,4,4,9,1,"00",50,26,0,9,1,3,NA,45,NA,1,NA,2,NA,NA,NA,NA,NA,NA,26,1,2,17,45,3,6,NA,NA,NA,NA,NA,26,45,15,NA,NA,NA,NA,2,3,"W","18",NA,NA,NA,"1",1,2,NA,1,NA,4,0,NA,"P203","P204",217,NA,"6.25",NA,"IFN2",17,141,26,"19911225",1991,10
"960","10_22","26",308449.395833333,898.34123434092,26,NA,NA,308449.395833333,NA,NA,898.34123434092,NA,NA,18497.8716802684,7252.1602402207,30.8449395833333,898.34123434092,0,0,159.154943091895,413.802852038928,297.089227104871,28.2942121052258,0,0,0,20.5911417322835,8.07283464566929,20.9086673905164,8.5,2415,10,22,0,911217,NA,NA,NA,NA,NA,"6",911223,NA,551,2,"0551K08","727","4481",90,51,"3","3","0","0","11",11,5,5,9,1,"80",80,76,0,9,3,4,NA,45,NA,1,NA,2,NA,NA,NA,NA,NA,NA,76,2,1,30,45,3,6,NA,NA,NA,NA,NA,26,45,NA,NA,NA,NA,NA,3,6,"G","20",NA,NA,NA,"1",1,2,NA,0,NA,1,0,NA,NA,"01",340,NA,"9.00",NA,"IFN2",30,51,26,"19911217",1991,10
"965","10_24","26",307654.840277778,1135.30526072219,26,NA,NA,307654.840277778,NA,NA,1135.30526072219,NA,NA,20602.9610608972,8854.32000067911,30.7654840277778,1135.30526072219,0,127.323954473516,381.971863420549,413.802852038928,212.206590789194,0,0,0,0,18.147507788162,7.79906542056075,18.575076466386,8.25,3201,10,24,NA,920227,0,41,4,2,2,"S",920228,0,551,2,"0551K10","732","4481",90,51,"3","3","0","0","11",11,5,5,9,1,"80",80,26,0,8,3,3,NA,68,NA,2,NA,2,NA,NA,NA,NA,NA,NA,26,3,1,NA,68,3,6,NA,NA,NA,NA,NA,26,68,NA,NA,NA,NA,NA,3,7,"G","20",NA,NA,NA,"1",1,3,NA,0,NA,0,0,NA,"P713","G918",145,NA,"10.50",NA,"IFN2",31,51,26,"19920227",1992,9
"975","10_2457","26",68242.5,572.957795130823,26,46,NA,68242.5,24986.6944444444,NA,572.957795130823,173.302049144508,NA,8925.05553094217,3911.67482354747,9.32291944444444,746.259844275331,0,509.295817894065,222.816920328653,0,0,0,14.1471060526129,0,0,11.9597156398104,5.24170616113744,12.6120588500062,6.20967741935484,333,10,2457,0,911227,NA,NA,NA,NA,NA,"1",920103,NA,681,2,"0681K08","299","4388",90,132,"5","5","0","0","07",7,4,4,9,1,"90",70,26,0,8,2,3,NA,46,NA,2,NA,4,NA,NA,NA,NA,NA,NA,26,1,1,33,46,3,6,NA,NA,NA,NA,NA,26,46,68,NA,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,2,NA,0,3,1,0,NA,NA,"P204",55,NA,"5.75",NA,"IFN2",33,132,26,"19911227",1991,10
"979","10_2464","26",477820.576388889,3911.67482354747,26,NA,NA,477820.576388889,NA,NA,3911.67482354747,NA,NA,47648.6910569799,27107.6235850629,47.7820576388889,3911.67482354747,0,2450.98612361519,1336.90152197192,95.4929658551372,28.2942121052258,0,0,0,0,12.1811482820976,6.92992766726944,12.4711387425957,7.61428571428571,3335,10,2464,NA,920617,1,67,6,3,1,"S",920624,1,681,2,"0681K08","299","4387",90,132,"5","5","0","0","08",8,5,5,9,1,"90",75,26,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,1,23,NA,NA,NA,NA,NA,NA,NA,NA,26,68,45,NA,NA,NA,NA,2,8,"G","15",NA,NA,NA,"1",1,1,NA,0,NA,1,0,NA,NA,"01",87,NA,"7.25",NA,"IFN2",23,132,26,"19920617",1992,9
"990","10_2505","26",63605.8125,795.774715459477,26,NA,NA,63605.8125,NA,NA,795.774715459477,NA,NA,7844.74714499952,3819.71863420549,6.36058125,795.774715459477,0,636.619772367581,159.154943091895,0,0,0,0,0,0,9.858,4.8,10.0880771210375,6.5,378,10,2505,0,911230,NA,NA,NA,NA,NA,"1",920103,NA,681,2,"0681L08","299","4380",90,213,"1","1","0","0","08",8,2,3,9,1,"00",90,26,0,0,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,26,45,44,NA,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"01",45,NA,"4.00",NA,"IFN2",15,213,26,"19911230",1991,10
