"","PLOT_ID","specie","G_sp","N_sp","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","IFN3_ID","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","Estadillo","Clase","Subclase","PosEsp.x","Ocupa","Estado_pcespparc","FPMasa","Edad","FInfor","Fiabil","Barrena1","Barrena2","Barrena3","AltPer","OrgMasa1","OrgMasa2","TratMasa","INVENTORY_ID","PLOT_ID.x","Provincia","CoorX","Coory","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","Ano","INE","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosid","Textura","MatOrg","PhSuelo","FechaPh","HoraPh","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","Equipo","JefeEq","FechaIni","HoraIni","FechaFin","HoraFin","Tiempo","Resid","RumboF1","RumboF2","DistFoto","CarFoto1","NumFoto1","ConFoto1","CarFoto2","NumFoto2","ConFoto2","Estado_pcparcelas","Tecnico","MASTER_CLASE","AGE","MUNICIPALITY","PosEsp.y","SPECIE_IFN_ID","Fecha_IFN3","Anyo_IFN3","EXEC_TIME"
"27522","24_1097_A_4",25,133402.1875,519.906147433525,25,26,21,133402.1875,61032.5069444444,16562,519.906147433525,166.228496118202,190.985931710274,"24_1097_A_4",14656.0481928557,6677.4340568333,21.0996694444444,877.120575262001,0,127.323954473516,318.309886183791,318.309886183791,113.176848420903,0,0,0,0,16.7092741935484,7.61290322580645,17.5010149475266,9.5,1097,"A","4",1,7,3,2,25,5,3,NA,NA,NA,NA,2,"B",1,"IFN3","24_1097",24,NA,NA,0,1997,"","2-4","1984","J","0011","2003","210",1,"1","2",100,70,1,2,2,2,2,4,"01/15/03 00:00:00","12/30/99 12:07:00",1,2,1,1,7,2,NA,NA,"0","K","N","5","0",235,0,1.2,0,2,"2",3,"REJON NO ENCONTRADO PORQUE
 SOLAMENTE HABIA UN PIE MAYOR Y SIN REFERENCIAS CLARAS.
PARCELA PINCHADA EN EL  CRUCE  DE     COORDENADAS A 188M DESDE  EL  CRUCE DE CORTAFUEGOS Y CAMINO   Y  DESDE EL  BORDE 225M A 100G, TODO   INDICADO EN  EL    CROQUIS.
PARCELA   PINCHADA EN UN  BOSQUE DE PINO LARICIO CON MANCHAS  DE PINO PINASTER  Y  ALGUN PINO  SYLVESTRIS CON   MUCHO MATORRAL.
NO  DEJO OCUPACION A LA  OTRA SPP.PIE (025) A 385G Y 10.2M NO ENTRA  JUSTO  POR   DIAMETRO.
HAY  RAMAS Y  TRONCOS   PEQUEÑOS ESPARCIDOS   POR EL  SUELO.",19,70,"01/15/03 00:00:00","12/30/99 10:21:16","01/15/03 00:00:00","12/30/99 12:26:21",125,"014","350","153","10",355280,28,13,355280,27,14,"D",1,"A4",25,210,1,26,3-01-15,2003,10
"27554","24_1128_A_3E",26,806217.474166667,1064.4282593986,26,21,NA,806217.474166667,232419.548611111,NA,1064.4282593986,763.943726841098,NA,"24_1128_A_3E",29614.4907775859,17386.43966101,54.5764263888889,1329.82796894561,0,0,222.816920328653,541.126806512444,297.089227104871,240.50080289442,28.2942121052258,0,0,22.269414893617,13.0742021276596,22.8591393683046,13.7375,1128,"A","3E",1,5,4,2,30,1,3,NA,NA,NA,NA,2,"J",1,"IFN3","24_1128",24,NA,NA,0,1997,"","4-2","1984","L","0011","2003","210",1,"1","2",95,90,1,2,1,2,1,4,"01/13/03 00:00:00","12/30/99 15:01:00",1,2,1,1,11,10,NA,NA,"0","I","","5","",392,0,3,0,3,"1",2,"A 74 G. Y 14.4 M. NO ENTRA UN P. SILVESTRE POR DIAMETRO.
A 97 G Y     7.5  M.  NO ENTRA UN P. SILVESTRE  POR  DIAMETRO.
A 106  G. Y 10.0 M.  NO ENTRA  UN P. SILVESTRE POR  DIST.  LATERAL.
A  114  G. 12.5 M. NO  ENTRA UN  P. PINASTER  POR  DIAMETRO.

A 133 G  Y  5.0 M. NO   ENTRA  UN P.  SILVESTRE  POR DIST. LATERAL.
A 181 G. 7.0  M.  NO  ENTRA UN   P.  SILVESTRE POR DIAMETRO.
A 212 G. Y   14.2 M. NO  ENTRA   UN P.  PINASTER POR DIAMETRO.
A 245   G. Y6.5 M. NO ENTRA  UN P.  SILVESTRE POR DIAMETRO.
A 308  G. Y 15.0 M. NO  ENTRA UN P.  PINASTER  POR DIST. LATERAL.
NO HAY REGENERACION  NI MATORRAL.",18,55,"01/13/03 00:00:00","12/30/99 12:50:53","01/13/03 00:00:00","12/30/99 15:26:37",156,"014","059","060","10",353144,24,17,353144,23,18,"D",1,"A3E",30,210,1,26,3-01-13,2003,11
"27569","24_1149_A_1",25,58794.0625,381.971863420549,26,21,25,183536.763888889,138889.625,58794.0625,371.361533881089,746.259844275331,381.971863420549,"24_1149_A_1",25580.2666478577,13554.3423090084,38.1220451388889,1499.59324157697,0,286.478897565412,732.112738222719,254.647908947033,127.323954473516,56.5884242104517,28.2942121052258,14.1471060526129,0,17.0581367924528,9.03867924528302,17.9910461548317,10.9125,1149,"A","1",3,2,3,2,25,1,3,NA,NA,NA,NA,2,"I",1,"IFN3","24_1149",24,NA,NA,0,1984,"M","0011","1997","","4-4","2002","023",1,"1","2",100,85,1,2,1,2,2,4,"12/11/02 00:00:00","12/30/99 12:24:00",1,2,1,1,9,5,NA,NA,"0","0","","0","",68,0,2.2,0,2,"1",2,"PARCELA ENCONTRADA CON CROQUIS Y PIES  MAYORES. A 55 G. Y 8.5 M.  NO  ENTRA UN  P. SILVESTRE  POR  DIAMETRO.
A  102 G.  Y  14.3 M. NO      ENTRA UN P. PINASTER  POR  DIAMETRO.
P. E.  DEL PIE    30        COMPROBADO.
P. E.  DEL PIE 35  COMPROBADO.
P. E.  DEL PIE 43        COMPROBADO.
P. E. DEL  PIE 47   COMPROBADO.
A 374 G. Y  14.9 M. NO ENTRA  UN P.  SILVESTRE  POR DIAMETRO Y   DIST.     LATERAL.
CRECIMIENTOS EN   DIAMETRO MUY   ALTOS.
EL MODELO DE  COMBUSTIBLE  PUEDE SER EL  05.",18,55,"12/11/02 00:00:00","12/30/99 10:37:47","12/11/02 00:00:00","12/30/99 12:29:42",112,"014","320","370","10",353496,24,17,353496,23,18,"D",1,"A1",25,23,1,26,2-12-11,2002,10
"27580","24_1159_A_1",25,126444.534722222,551.737136051904,25,21,26,126444.534722222,83819.4652777778,9669.44444444445,551.737136051904,406.729299012621,14.1471060526129,"24_1159_A_1",15900.9935254856,9172.6298868629,21.9933444444444,972.613541117138,0,254.647908947033,413.802852038928,190.985931710274,84.8826363156775,28.2942121052258,0,0,0,16.3487272727273,9.43090909090909,16.9679955424108,10.3125,1159,"A","1",1,6,3,2,25,1,2,NA,NA,NA,NA,2,"B",1,"IFN3","24_1159",24,NA,NA,0,1984,"J","0008","1997","","2-1","2003","123",1,"1","2",100,85,1,3,1,2,2,4,"01/23/03 00:00:00","12/30/99 11:22:00",1,2,1,1,11,3,NA,NA,"3","N","","3","",120,0,0.2,0,1,"1",2,"SE HA REALIZADO UNA ENTRESACA QUITANDO  LOS PIES MAYORES SOBRETODO DE PINASTER.
SE HA REALIZADO UNA PODA DE LAS RAMAS  DE LA BASE DE LOS ARBOLES.PIE 16 FORMA COMPROBADA.
HAY GRAN CANTIDAD DE COMBUSTIBLE ACUMULADO.",24,60,"01/23/03 00:00:00","12/30/99 10:31:25","01/23/03 00:00:00","12/30/99 11:32:54",61,"039","378","270","12",977940,38,3,977940,37,4,"D",1,"A1",25,123,1,26,3-01-23,2003,10
"27593","24_1173_A_1",26,258714.888888889,435.023511117847,26,NA,NA,258714.888888889,NA,NA,435.023511117847,NA,NA,"24_1173_A_1",11739.2686024582,4672.08177387542,25.8714888888889,435.023511117847,0,0,0,95.4929658551372,113.176848420903,127.323954473516,99.0297423682904,0,0,26.9853658536585,10.739837398374,27.5175273043035,11.5625,1173,"A","1",1,10,4,2,25,1,3,NA,NA,NA,NA,2,"B",1,"IFN3","24_1173",24,NA,NA,0,1984,"K","0008","1997","","2-3","2003","015",1,"1","2",100,65,1,1,1,3,1,4,"01/28/03 00:00:00","12/30/99 11:09:00",1,2,1,1,9,2,NA,NA,"3","0","","0","",100,0,0.2,0,1,"1",2,"ARBOL A 221 GRADOS SE VA POR DIST.
SE  HA REALIZADO UNA FUERTE ENTRESACA.
HAY  RESTOS DE RAMAS.
HAY RETAMA FUERA DE  LOS 10 MTS.",24,60,"01/28/03 00:00:00","12/30/99 10:04:02","01/28/03 00:00:00","12/30/99 11:30:42",87,"039","360","118","14",977940,26,15,977940,25,16,"D",1,"A1",25,15,1,26,3-01-28,2003,11
"27609","24_1207_A_1",25,30719.875,254.647908947033,26,25,21,258812.652777778,30719.875,30577.5625,512.832594407218,254.647908947033,127.323954473516,"24_1207_A_1",17686.8888258023,8981.64395515263,32.0110090277778,894.804457827767,0,127.323954473516,318.309886183791,222.816920328653,42.4413181578388,99.0297423682904,28.2942121052258,56.5884242104517,0,19.7662055335968,10.0375494071146,21.3422730414798,11.875,1207,"A","1",3,2,3,2,20,1,2,NA,NA,NA,NA,2,"B",1,"IFN3","24_1207",24,NA,NA,0,1984,"J","0004","1997","","1-2","2003","142",1,"1","2",95,75,1,2,1,3,2,4,"01/09/03 00:00:00","12/30/99 11:09:00",1,2,1,1,6,5,NA,NA,"0","0","","3","0",100,0,0.2,0,1,"1",2,"DEJO EL 10% PARA EL RESTO DE ESPECIES   
FORESTALES:REBOLLO. 
ARBOL A 180   GRADOS  SE VA POR DIST.
ARBOL 29 MEDIDO   POR ENCIMA DE 1.30 MTS.
LA PARCELA  ESTA NEVADA.
HAY UNA ZONA DE LA PARCELA  CON ARBOLES  MUERTOS.
HAY ALGUNOS  TRONCOS CAIDOS. PIE 31 COMPROBADA LA DIFERENCIA ENTRE SUS DIAMETROS.",24,60,"01/09/03 00:00:00","12/30/99 10:10:46","01/09/03 00:00:00","12/30/99 12:29:17",139,"039","343","125","15",977947,34,7,977947,33,8,"D",1,"A1",20,142,1,26,3-01-09,2003,11
"27625","24_1216_A_1",25,240932.472222222,831.142480591009,26,25,NA,317801.5,240932.472222222,NA,880.657351775154,831.142480591009,NA,"24_1216_A_1",34021.3143129749,17942.0672512263,55.8733972222222,1711.79983236616,0,0,700.281749604339,587.104901183436,311.236333157484,84.8826363156775,28.2942121052258,0,0,19.8745867768595,10.4814049586777,20.3859572271237,11.9375,1216,"A","1",2,4,3,1,20,1,2,NA,NA,NA,NA,2,"B",1,"IFN3","24_1216",24,NA,NA,0,1984,"J","0004","1997","","1-2","2003","133",1,"1","2",95,90,1,2,1,1,2,4,"01/14/03 00:00:00","12/30/99 12:03:00",1,2,1,1,9,6,NA,NA,"0","0","","0","",380,0,2.5,0,1,"2",2,"EL ESTADO DEL PINO LARICIO ES DE LATIZAL ALTO.
HAY BASTANTES ARBOLES DE POCO DIAMETRO CAIDOS EN LA  PARCELA. ARBOLES 38 Y 44 HT COMPROBADAS. ARBOLES 10, 25, Y 57 FORMAS COMPROBADAS. 
LARICIO A 256 GRADOS NO ENTRA POR DIST.
NO HAY REGENERACION.",24,60,"01/14/03 00:00:00","12/30/99 10:24:27","01/14/03 00:00:00","12/30/99 12:58:48",154,"039","272","173","15",977947,22,19,977947,21,20,"D",1,"A1",20,133,1,26,3-01-14,2003,11
"27869","24_1441_A_1",43,6400,127.323954473516,26,25,21,219174,55496.0277777778,22185.375,311.236333157484,130.860730986669,95.4929658551372,"24_1441_A_1",14878.8651131843,8438.74876038361,30.3255402777778,664.913984472807,0,127.323954473516,63.6619772367581,91.956189341984,155.618166578742,127.323954473516,99.0297423682904,0,0,22.3771276595745,12.6914893617021,24.0977558105808,14.875,1441,"A","1",3,1,2,3,0,NA,NA,NA,NA,NA,NA,1,"4",2,"IFN3","24_1441",24,NA,NA,0,1984,"J","0011","1997","","2-2","2002","229",1,"1","2",95,85,1,2,1,2,2,4,"12/16/02 00:00:00","12/30/99 14:43:00",1,2,1,1,9,3,NA,NA,"3","G","N","0","",9,0,0.5,0,1,"1",1,"PARCELA ENCONTRADA POR PIES DEL IFN2.  SITUADA EN MASA DE ANTIGUAS  PLANTACIONES Y YA NATURALIZADO EN EL QUE SE HAN HECHO ENTRESACAS, PODAS Y  DESBROCES DE MATORRAL . NO SE CONSIDERA  SUBPISO PORQUE LA MAYORIA DEL SUELO ESTA LIBRE DE REBOLLO.10% DE  OCUPACION  PARA PINO SILVESTRE. PIE 9 DM Y HT COMPROBADOS. CON  RUMBO 112  NO  ENTRA 043 POR  DISTANCIA. CON RUMBO  235  NO ENTRA 025  POR DISTANCIA  LATERAL. CON RUMBO 378 NO  ENTRA 025 POR  DIAMETRO.",20,66,"12/16/02 00:00:00","12/30/99 13:24:16","12/16/02 00:00:00","12/30/99 14:55:06",91,"188","382","120","10",353510,8,33,353510,7,34,"D",4,"A1",40,229,1,26,2-12-16,2002,10
"27879","24_1445_A_1",21,30112.5,413.802852038928,25,21,NA,191756.4375,30112.5,NA,1241.40855611678,413.802852038928,NA,"24_1445_A_1",20990.9454443901,12796.0574245884,22.18689375,1655.21140815571,0,668.45076098596,923.098669932993,63.6619772367581,0,0,0,0,0,12.6817307692308,7.73076923076923,13.0640121502369,8.75,1445,"A","1",3,2,2,1,25,1,3,NA,NA,NA,NA,2,"J",1,"IFN3","24_1445",24,NA,NA,0,1984,"J","0010","1997","","2-1","2002","051",1,"1","2",100,95,1,3,1,3,1,4,"12/05/02 00:00:00","12/30/99 12:54:00",1,2,1,1,7,2,NA,NA,"0","H","","0","",40,0,5,0,1,"1",2,"PARCELA PIES DEL IFN2. PLANTACION DE PINO LARICIO CON PINO   SILVESTRE INTERCALADO. SP DE PINO COMPROBADA, ES LARICIO. SE CONSIDERA SUBPISO  DE REBOLLO. CON RUMBO 174 NO ENTRA  021 POR   DISTANCIA. PIE 20 ENTRA  JUSTO. CON    RUMBO 229 NO ENTRA 025 POR  DIAM. CON RUMBO 286 NO ENTRA 021 POR  DIAM. EL CLAREO SOLO AFECTA AL ROBLE.",20,66,"12/05/02 00:00:00","12/30/99 11:22:18","12/05/02 00:00:00","12/30/99 13:00:48",98,"188","035","369","10",353510,36,5,353510,35,6,"D",4,"A1",25,51,1,26,2-12-05,2002,10
"27882","24_1446_A_1",26,316429.395833333,831.142480591009,26,25,NA,316429.395833333,104792.9375,NA,831.142480591009,459.78094670992,NA,"24_1446_A_1",25669.9239324661,13257.6067595549,42.1222333333333,1290.92342730093,0,0,445.633840657307,477.464829275686,311.236333157484,42.4413181578388,14.1471060526129,0,0,19.8849315068493,10.2698630136986,20.3826437044747,10.9375,1446,"A","1",1,4,4,1,25,1,3,NA,NA,NA,NA,2,"J",1,"IFN3","24_1446",24,NA,NA,0,1984,"J","0010","1997","","2-2","2002","051",1,"1","2",100,95,1,3,1,2,2,4,"12/18/02 00:00:00","12/30/99 12:15:00",1,2,1,1,7,3,NA,NA,"0","J","N","0","",105,0,1.2,0,1,"1",1,"PARCELA ENCONTRADA POR PIES DEL IFN2. PINCHADA EN UN  PINAR DE   REPOBLACION. SUBPISO DE REBOLLO. DIAMETROS COMPROBADOS. PIES 43, 44 Y 46 SP COMPROBADA. CON RUMBO 35 NO ENTRA 026 POR DIAMETRO. CON RUMBO 57 NO ENTRA 026 POR DIAMETRO. CON  RUMBO 59 NO ENTRA 026 POR  DIAMETRO. CON RUMBO 186 NO ENTRA 026   POR DISTANCIA LATERAL. PIE 38  DISTANCIA COMPROBADA.",20,66,"12/18/02 00:00:00","12/30/99 10:52:06","12/18/02 00:00:00","12/30/99 12:22:05",90,"188","123","000","10",355217,40,1,355217,39,2,"D",4,"A1",25,51,1,26,2-12-18,2002,10
