"","PLOT_ID","specie","G_sp","N_sp","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","IFN3_ID","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","Estadillo","Clase","Subclase","PosEsp.x","Ocupa","Estado_pcespparc","FPMasa","Edad","FInfor","Fiabil","Barrena1","Barrena2","Barrena3","AltPer","OrgMasa1","OrgMasa2","TratMasa","INVENTORY_ID","PLOT_ID.x","Provincia","CoorX","Coory","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","Ano","INE","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosid","Textura","MatOrg","PhSuelo","FechaPh","HoraPh","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","Equipo","JefeEq","FechaIni","HoraIni","FechaFin","HoraFin","Tiempo","Resid","RumboF1","RumboF2","DistFoto","CarFoto1","NumFoto1","ConFoto1","CarFoto2","NumFoto2","ConFoto2","Estado_pcparcelas","Tecnico","MASTER_CLASE","AGE","MUNICIPALITY","PosEsp.y","SPECIE_IFN_ID","Fecha_IFN3","Anyo_IFN3","EXEC_TIME"
"417","1_687",21,169977.847222222,304.162780131178,26,21,273,233421.624722222,169977.847222222,81790.1875,291.571855744352,304.162780131178,413.802852038928,"1_687_A_1",30172.6506997857,24417.7635757494,56.8746576111111,1511.75975278222,0,381.971863420549,254.647908947033,318.309886183791,311.236333157484,70.7355302630646,99.0297423682904,70.7355302630646,5.09295817894065,19.9586281115478,16.1518809657496,21.8863362594237,19.258152173913,687,"A","1",1,5,4,2,35,5,3,NA,NA,NA,NA,2,"2",1,"IFN3","1_687",1,539000,4752000,0,1996,"04","0019","2002","","2-4 ","2005","",1,"1","2",100,100,1,2,1,2,2,4,"","",1,2,1,1,8,3,NA,NA,"0","6","1","0","",16,NA,1.5,NA,2,"2",2,"PARCELA ENCONTRADA POR PIES DEL IFN2.
01,PINAR DE SILVESTRE Y PINASTER PRINCIPALMENTE.
01,[CLAESP. RESTO DE ESPECIES=20%]PARA FRONDOSAS.
01,[PIESMAY 002-041]DIAM COMP.
01,CON RUMBO 25 NO ENTRA 026 POR Ø.
01,[PIESMAY 006-026]FORMA COMP.
01,[PIESMAY 008-026]Ø COMP.
01,[PIESMAY 010-026]FORMA COMP.
01,SIN AJUSTES DEL GPS.
01,",20,9900000010051004,"11/02/05 00:00:00","12/30/99 10:44:13","11/02/05 00:00:00","12/30/99 12:32:58",NA,"1058","115","267","10",289919,6,34,289919,7,33,"T",9900000010051276,"A1",35,13,1,26,5-11-02,2005,9
"816","10_131",26,169368.212222222,203.152442915522,26,NA,NA,169368.212222222,NA,NA,203.152442915522,NA,NA,"10_131_A_1",6553.30734832767,2299.69697148855,16.9368212222222,203.152442915522,0,0,0,0,42.4413181578388,84.8826363156775,42.4413181578388,28.2942121052258,5.09295817894065,32.258077994429,11.3200557103064,32.5806681534603,12.3038043478261,131,"A","1",1,9,4,2,40,1,2,NA,NA,NA,NA,2,"2",1,"IFN3","10_131",10,NA,NA,0,1984,"L","0011","1997","","4-4","2001","135",1,"1","2",95,60,1,1,1,2,2,5,"09/19/01 00:00:00","12/30/99 12:04:00",1,2,1,1,7,5,NA,NA,"0","0","","0","",170,0,9,0,2,"2",2,"UN 10 % DE OCUPACION AL RESTO DE  SPS.

FORMA DEL PIE 003 IFN3  COMPROBADA.
LOS PIES 001 Y 013 IFN3 ENTRAN POR  CORRECCION DE PTE.",18,55,"09/19/01 00:00:00","12/30/99 11:02:45","09/19/01 00:00:00","12/30/99 12:11:02",68,"146","004","072","10",506296,20,21,506296,19,22,"D",3,"A1",40,135,1,26,1-09-19,2001,10
"971","10_1474",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10_1474_A_1",2641.97205532546,1082.25361302489,2.160625,254.647908947033,0,254.647908947033,0,0,0,0,0,0,0,10.375,4.25,10.3938082529937,4,1474,"A","1",2,1,2,2,10,7,4,NA,NA,NA,NA,1,"3",3,"IFN3","10_1474",10,NA,NA,0,1984,"M","0004","1997","","3-3","2001","175",1,"1","1",90,40,1,1,2,2,2,4,"10/15/01 00:00:00","12/30/99 11:02:00",1,2,1,1,7,1,NA,NA,"2","0","","0","",0,0,0.5,0,2,"2",1,"REJON ENCONTRADO POR TOCONES DEL IFN2.TODOS LOS PIES FUERON CORTADOS CON POSTERIORIDAD AL INCENDIO DE AGOSTO DE 1990. EL ESTADO DEL PINO PINASTER ES LATIZAL BAJO. LAS CORTAS SON DE LOS  PIES QUEMADOS DEL IFN2.",8,5,"10/15/01 00:00:00","12/30/99 10:50:33","10/15/01 00:00:00","12/30/99 11:09:09",19,"148","113","202","05",508247,14,27,508247,13,28,"D",4,"A1",10,175,1,26,1-10-15,2001,10
"973","10_1477",68,7396,127.323954473516,23,68,NA,9506.25,7396,NA,127.323954473516,127.323954473516,NA,"10_1477_A_6C",2336.39456458902,1145.91559026165,1.690225,254.647908947033,0,254.647908947033,0,0,0,0,0,0,0,9.175,4.5,9.19300005438921,4,1477,"A","6C",1,7,3,2,10,7,4,NA,NA,NA,NA,1,"3",3,"IFN3","10_1477",10,NA,NA,0,1997,"","3-4","1984","M","0005","2001","175",1,"2","1",100,15,1,2,2,2,2,4,"10/22/01 00:00:00","12/30/99 15:23:00",1,2,1,5,4,2,NA,NA,"0","0","","0","",370,0,9,0,2,"3",3,"REJON NO ENCONTRADO POR CORTAS Y FALTA DE REFERENCIAS.TODA LA MASA FUE ARRASADA POR UN INCENDIO EN 1990. NO  DEJO OCUPACION PARA OTRAS ESPECIES.",8,5,"10/22/01 00:00:00","12/30/99 15:04:44","10/22/01 00:00:00","12/30/99 15:27:50",23,"148","042","270","03",511953,24,17,511953,23,18,"D",4,"A6C",10,175,1,26,1-10-22,2001,10
"1257","10_185",26,142171.319444444,332.456992236404,26,NA,NA,142171.319444444,NA,NA,332.456992236404,NA,NA,"10_185_A_1",7688.59846194381,3730.59186607403,14.2171319444444,332.456992236404,0,0,0,205.133037762887,70.7355302630646,56.5884242104517,0,0,0,23.1265957446808,11.2212765957447,23.3342217409392,11.85,185,"A","1",1,10,4,2,30,6,4,NA,NA,NA,NA,3,"5",1,"IFN3","10_185",10,NA,NA,0,1984,"M","0002","1997","","3-3","2001","156",1,"1","2",80,70,1,1,1,2,1,4,"10/01/01 00:00:00","12/30/99 12:24:00",1,2,1,1,12,5,NA,NA,"0","1","2","0","",310,0,5.2,0,2,"2",2,"ENCONTRADO REJON POR PIES IFN2. MASA DE   ORIGEN ARTIFICIAL QUE AHORA SE HA    NATURALIZADO. A 57 G. NO ENTRA 026 POR  DIAMETRO. A 87 G. NO ENTRA 026 POR    DISTANCIA. A  225 G. NO ENTRA 026 POR    DIAMETRO. A 260 G. NO ENTRA 026 POR    DISTANCIA.TODAS LAS FORMAS COMPROBADAS.  MASA MUY ACLARADA CON RESTOS   POR EL SUELO. SE HAN LLEVADO ALGUNOS    PIES PERO LA MAYORIA ESTAN CORTADOS Y    TIRADOS EN EL SUELO. DESBROCE DE    MATORRAL.",12,32,"10/01/01 00:00:00","12/30/99 10:56:57","10/01/01 00:00:00","12/30/99 12:40:46",104,"128","000","260","10",508256,18,23,508256,17,24,"D",2,"A1",30,156,1,26,1-10-01,2001,10
"1271","10_187",26,125774.666666667,438.560287631001,26,NA,NA,125774.666666667,NA,NA,438.560287631001,NA,NA,"10_187_A_1",8229.01791315362,3948.45729928427,12.5774666666667,438.560287631001,0,0,159.154943091895,236.964026381266,28.2942121052258,14.1471060526129,0,0,0,18.7637096774194,9.00322580645161,19.1089575347405,10.3352941176471,187,"A","1",1,10,3,1,30,6,4,NA,NA,NA,NA,2,"2",1,"IFN3","10_187",10,NA,NA,0,1984,"M","0002","1997","","3-3","2001","156",1,"1","2",85,70,1,1,1,2,2,4,"09/20/01 00:00:00","12/30/99 12:32:00",1,2,1,1,11,3,NA,NA,"0","1","2","0","",385,0,2.5,0,2,"1",2,"ENCONTRADO REJON POR PIES IFN2. PARCELA  LEVANTADA EN PRESENCIA DE JOSE ANTONIO  VILLANUEVA(ICONA) JULIO MARTIN Y  RAMON BARRERA (TRAGSATEC). BOSQUE DE ORIGEN DE   REPOBLACIONES QUE ACTUALMENTE ESTA   BASTANTE ACLARADO CON RESTOS POR EL   SUELO. TAMBIEN SE VE ALGUN ARBOL CAIDO   COMO CONSECUENCIA DE LA MAQUINARIA YA  QUE ESTA DAÑADA LA CORTEZA.",12,32,"09/20/01 00:00:00","12/30/99 11:16:37","09/20/01 00:00:00","12/30/99 12:51:00",94,"128","025","225","12",508217,10,31,508217,9,32,"D",2,"A1",30,156,1,26,1-09-20,2001,10
"1312","10_1924",26,4323.0625,31.8309886183791,26,NA,NA,4323.0625,NA,NA,31.8309886183791,NA,NA,"10_1924_A_1",418.577500331685,159.154943091895,0.43230625,31.8309886183791,0,0,31.8309886183791,0,0,0,0,0,0,13.15,5,13.15,5,1924,"A","1",1,10,4,1,25,2,3,NA,NA,NA,NA,2,"2",1,"IFN3","10_1924",10,NA,NA,0,1984,"K","0009","1997","","4-1","2001","097",1,"2","2",90,15,3,1,2,3,3,4,"11/05/01 00:00:00","12/30/99 15:24:00",1,2,1,1,6,1,NA,NA,"0","0","","0","",318,0,8,0,3,"1",2,"PARCELA EN EL FINAL DE UNA REPOBLACION  DE PINO PINASTER. AQUI FUERON PLANTADOS AISLADOS Y HAN MUERTO VARIOS. 
LA LOCALIZACION HA SIDO DIFICULTOSA PORQUE EL UNICO PIE QUE ENTRO EN EL  IFN2 ESTA AHORA MUERTO, TUMBADO Y ROTO.
EL FORESTAL DE LA ZONA NOS DIJO QUE TODAS LAS REPOBLACIONES DE HIGUERA SON  DE 1974.",19,57,"11/05/01 00:00:00","12/30/99 14:34:42","11/05/01 00:00:00","12/30/99 15:40:19",66,"103","100","332","10",511973,6,35,511973,5,36,"D",4,"A1",25,97,1,26,1-11-05,2001,9
"1321","10_1930",26,109203.8125,604.788783749202,26,NA,NA,109203.8125,NA,NA,604.788783749202,NA,NA,"10_1930_A_1",8936.55005460992,5172.5356504866,10.92038125,604.788783749202,0,127.323954473516,318.309886183791,159.154943091895,0,0,0,0,0,14.7763157894737,8.55263157894737,15.162544745454,9.5,1930,"A","1",1,10,3,1,25,2,3,NA,NA,NA,NA,2,"2",1,"IFN3","10_1930",10,NA,NA,0,1984,"L","0009","1997","","4-1","2001","097",1,"1","2",100,70,1,1,2,3,2,3,"10/25/01 00:00:00","12/30/99 13:25:00",1,2,2,1,7,3,NA,NA,"0","0","","0","",277,0,10,0,3,"2",2,"PARCELA SITUADA EN UNA PLANTACION DE  PINO PINASTER.
LA PARCELA FUE DESPLAZADA EN EL IFN2  52.30M A 272G DEL PINCHAZO ORIGINAL. 
LA PLANTACION ES DE 1974.
PIE N6 ATACADO POR PERFORADORES.
HAY BASTANTES PIES MUERTOS EN LA ZONA,  ATACADOS POR INSECTOS.",19,57,"10/25/01 00:00:00","12/30/99 11:48:06","10/25/01 00:00:00","12/30/99 13:34:03",106,"103","074","170","10",511973,28,13,511973,27,14,"D",4,"A1",25,97,1,26,1-10-25,2001,10
"1323","10_1934",46,30015.625,173.302049144508,26,46,NA,367613.334722222,30015.625,NA,512.40818122564,173.302049144508,NA,"10_1934_A_1",17638.8735478598,9245.9826317457,39.7628959722222,685.710230370148,0,31.8309886183791,159.154943091895,31.8309886183791,99.0297423682904,212.206590789194,113.176848420903,28.2942121052258,10.1859163578813,25.7235093872498,13.4838044151021,27.1721340434524,16.3937823834197,1934,"A","1",2,1,3,4,0,NA,NA,NA,NA,NA,NA,1,"4",2,"IFN3","10_1934",10,NA,NA,0,1984,"L","0005","1997","","3-2","2001","057",1,"1","2",90,90,1,1,3,2,1,4,"10/16/01 00:00:00","12/30/99 13:47:00",1,2,1,1,9,10,NA,NA,"0","0","","0","",254,0,10.5,0,2,"3",2,"PARCELA EN UNA REPOBLACION DE PINO PINASTER.
ALGUNOS PIES SE HAN SECADO Y CAIDO. 
ALGUNAS ALTURAS ESTIMADAS POR   COMPARACION. PIE N3 RUMBO COMPROBADO.
PIE N12 BIFURCADO POR  ARRIBA.
PIE N21 SE HA INCLINADO BASTANTE, PERO HEMOS MEDIDO EL DIAMETRO A 1.30M, AGUAS ARRIBA, COMO EN EL IFN2.
PIE N22 DEL IFN2 ESTA TUMBADO, MUERTO, EN EL SUELO.


NO HAY REGENERACION.",19,57,"10/16/01 00:00:00","12/30/99 11:03:16","10/16/01 00:00:00","12/30/99 13:48:16",165,"103","383","273","10",506316,18,23,506316,17,24,"D",4,"A1",30,57,1,26,1-10-16,2001,10
"1334","10_1942",26,68884.1977777778,66.774340568333,26,NA,NA,68884.1977777778,NA,NA,66.774340568333,NA,NA,"10_1942_A_1",2395.10505470737,779.22260137792,6.88841977777778,66.774340568333,0,0,0,0,0,28.2942121052258,14.1471060526129,14.1471060526129,10.1859163578813,35.8686440677966,11.6694915254237,36.2418249110245,11.6694915254237,1942,"A","1",1,10,4,1,35,2,3,NA,NA,NA,NA,2,"2",1,"IFN3","10_1942",10,NA,NA,0,1984,"L","0006","1997","","3-2","2001","057",1,"1","2",65,40,1,1,4,2,1,4,"10/10/01 00:00:00","12/30/99 16:42:00",1,2,1,1,9,5,NA,NA,"0","0","","0","",205,0,8.5,0,2,"2",2,"PARCELA EN UNA REPOBLACION DE PINO.
HAY BASTANTE TERRENO CON SOLO UNA CAPA  GRUESA DE ACICULAS.
HAY POCO SUELO PORQUE HAY MUCHAS ROCAS  Y PIEDRAS, PERO EL QUE HAY ES MUY  HUMIFERO.
HAY VARIOS PIES SECOS CAIDOS EN LA PARCELA Y ALGUNO AUN EN PIE.
PIE N4 SE HA INCLINADO, LA ALTURA TOMADA ES ENTRE PLANOS Y SU FORMA  COMPROBADA.",19,57,"10/10/01 00:00:00","12/30/99 15:42:13","10/10/01 00:00:00","12/30/99 16:52:44",71,"103","397","262","10",506316,28,13,506316,27,14,"D",4,"A1",35,57,1,26,1-10-10,2001,10
