"","INVENTORY_ID","PLOT_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","BASAL_AREA","DENSITY","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H"
"685","IFN2","1_687_IFN2",24,13,26,41.6650784722222,1223.72467355102,19.4316473988439,11.3251445086705,20.8208906388324,12.75
"835","IFN2","10_1151_IFN2",20,180,26,3.15522569444444,187.449155197121,13.2745283018868,4.70754716981132,14.6395770765802,4.70754716981132
"869","IFN2","10_131_IFN2",30,135,26,9.97208333333333,169.765272631355,27.1333333333333,11.25,27.3478746889041,11.5625
"889","IFN2","10_1710_IFN2",15,151,26,1.12035625,63.6619772367581,14.875,8,14.9690096532803,8
"895","IFN2","10_185_IFN2",21,156,26,14.89898125,1623.38041953733,10.4578431372549,6.53921568627451,10.8099377843705,7
"896","IFN2","10_187_IFN2",20,156,26,12.74701875,1336.90152197192,10.8988095238095,5.21428571428571,11.0181749201684,6.875
"905","IFN2","10_1924_IFN2",20,97,26,1.092025,127.323954473516,10.45,4,10.45,4
"915","IFN2","10_1930_IFN2",20,97,26,4.495225,509.295817894065,10.5625,5,10.6009728327168,5
"916","IFN2","10_1934_IFN2",20,57,26,27.0273729166667,799.31149197263,19.2466814159292,10.0353982300885,20.7490849035875,12.3125
"918","IFN2","10_1942_IFN2",25,57,26,5.72228888888889,84.8826363156775,28.9166666666667,9.51666666666667,29.2974970489517,9.51666666666667
"941","IFN2","10_2019_IFN2",17,141,26,2.87444375,159.154943091895,15.11,6.3,15.1642836955789,6.375
"960","IFN2","10_22_IFN2",30,51,26,30.8449395833333,898.34123434092,20.5911417322835,8.07283464566929,20.9086673905164,8.5
"965","IFN2","10_24_IFN2",31,51,26,30.7654840277778,1135.30526072219,18.147507788162,7.79906542056075,18.575076466386,8.25
"975","IFN2","10_2457_IFN2",33,132,26,9.32291944444444,746.259844275331,11.9597156398104,5.24170616113744,12.6120588500062,6.20967741935484
"979","IFN2","10_2464_IFN2",23,132,26,47.7820576388889,3911.67482354747,12.1811482820976,6.92992766726944,12.4711387425957,7.61428571428571
"990","IFN2","10_2505_IFN2",15,213,26,6.36058125,795.774715459477,9.858,4.8,10.0880771210375,6.5
"992","IFN2","10_2510_IFN2",20,17,26,2.26480902777778,205.133037762887,11.1301724137931,3.86206896551724,11.8564055872037,3.86206896551724
"993","IFN2","10_2511_IFN2",20,17,26,17.8000152777778,1414.71060526129,11.99875,6.21375,12.6570192976072,10.3548387096774
"1004","IFN2","10_2513_IFN2",20,17,26,2.48350625,350.14087480217,9.22272727272727,4.77272727272727,9.50312149674086,5.21428571428572
"1006","IFN2","10_2515_IFN2",22,213,26,28.80349375,1941.69030572112,13.5270491803279,10.7622950819672,13.7431935463508,11.75
"1007","IFN2","10_2516_IFN2",21,213,26,23.32856875,2737.4650211806,10.131976744186,5.5406976744186,10.4165719375538,7.875
"1010","IFN2","10_2529_IFN2",20,213,26,1.802325,190.985931710274,10.65,5.33333333333333,10.9615236167241,5.33333333333333
"1016","IFN2","10_2530_IFN2",21,213,26,10.87618125,778.090832893711,13.0206818181818,5.19090909090909,13.3406849524303,10.2741935483871
"1017","IFN2","10_2539_IFN2",18,17,26,13.7819625,1018.59163578813,12.684375,6.546875,13.1253392813291,9.375
"1019","IFN2","10_2540_IFN2",16,17,26,2.730075,381.971863420549,9.48333333333333,4,9.53952304887409,5
"1021","IFN2","10_2548_IFN2",18,17,26,4.03278125,445.633840657307,10.5678571428571,5.32142857142857,10.7341660797927,5.75
"1022","IFN2","10_2549_IFN2",10,17,26,7.71566875,795.774715459477,10.886,5.24,11.1108370521757,6.75
"1023","IFN2","10_2556_IFN2",32,213,26,48.5136409722222,3292.73893374566,12.9617078410311,7.49495166487648,13.6964603571795,11.875
"1026","IFN2","10_2566_IFN2",35,17,26,6.39401736111111,275.868568025952,15.6903846153846,11.6025641025641,17.1787221174843,12.8333333333333
"1030","IFN2","10_2569_IFN2",32,17,26,17.6647652777778,919.56189341984,15.0303846153846,7.69807692307692,15.6393432628198,8.97142857142857
"1031","IFN2","10_271_IFN2",25,41,26,9.3082875,523.442923946678,14.7405405405405,7.82432432432432,15.0471859181062,9.62903225806452
"1042","IFN2","10_2743_IFN2",10,37,26,5.49831875,381.971863420549,13.4208333333333,5.83333333333333,13.5379943738601,6.5
"1043","IFN2","10_276_IFN2",17,41,26,19.6225125,1336.90152197192,13.4,8.39285714285714,13.670445180336,10
"1045","IFN2","10_2882_IFN2",11,77,26,18.35723125,1464.22547644544,12.4076086956522,7.71739130434783,12.6344013639779,8.25
"1052","IFN2","10_2905_IFN2",14,77,26,2.90318125,222.816920328653,12.6071428571429,5.92857142857143,12.8800648844861,5.92857142857143
"1059","IFN2","10_299_IFN2",25,216,26,44.9098486111111,2387.32414637843,14.8082962962963,9.10888888888889,15.4764076126404,10.875
"1064","IFN2","10_3034_IFN2",30,17,26,26.4989944444444,1771.92503308977,13.1590818363273,7.50499001996008,13.7989831555714,10.4393939393939
"1066","IFN2","10_3035_IFN2",24,17,26,25.2705902777778,1747.1675974977,13.1977732793522,10.0475708502024,13.5704881184606,11.5714285714286
"1068","IFN2","10_3036_IFN2",24,17,26,21.0989840277778,1000.90775322236,16.1895759717315,11.5371024734982,16.3828254573094,13
"1098","IFN2","10_3053_IFN2",30,17,26,31.8506388888889,1510.20357111643,15.5622950819672,10.480093676815,16.38688428533,13.1875
"1100","IFN2","10_3060_IFN2",28,17,26,7.12715486111111,300.626003618025,17.1205882352941,6.11764705882353,17.3740027221201,6.75806451612903
"1121","IFN2","10_3073_IFN2",27,17,26,32.82833125,2450.98612361519,12.7435064935065,8.19480519480519,13.0589733790327,9.5
"1159","IFN2","10_3102_IFN2",31,17,26,29.2121006944444,1351.04862802453,15.9359947643979,9.34031413612566,16.5920849814426,12.875
"1173","IFN2","10_3128_IFN2",10,203,26,0.570025,127.323954473516,7.55,4,7.55,4
"1235","IFN2","10_384_IFN2",1,84,26,21.4443540555556,561.923052409785,19.7749748237664,7.71097683786506,22.0431227614769,11.3056994818653
"1237","IFN2","10_386_IFN2",5,84,26,3.1037,381.971863420549,10.1666666666667,4.5,10.1713650345795,4.5
"1238","IFN2","10_4_IFN2",21,108,26,2.84733680555556,74.2723067762178,21.8071428571429,8.47619047619048,22.0933220895451,8.47619047619048
"1239","IFN2","10_407_IFN2",25,84,26,7.94205,1145.91559026165,9.32222222222222,4.27777777777778,9.39388098711071,5.5
"1241","IFN2","10_423_IFN2",15,215,26,22.80106875,2450.98612361519,10.6409090909091,5.29220779220779,10.8833409571515,6.25
"1242","IFN2","10_453_IFN2",16,156,26,7.53455625,1050.42262440651,9.43484848484848,5.74242424242424,9.55656604358776,5.5
"1243","IFN2","10_463_IFN2",5,41,26,0.686136111111111,14.1471060526129,24.85,11,24.85,11
