"","PLOT_ID","specie","G_sp","N_sp","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","INVENTORY_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","Fecha_IFN2","Anyo_IFN2","EXEC_TIME"
"4966","17_526","21",39110,445.633840657307,21,NA,NA,39110,NA,NA,445.633840657307,NA,NA,4644.14123942151,2307.74667483248,3.911,445.633840657307,0,381.971863420549,63.6619772367581,0,0,0,0,0,0,10.4214285714286,5.17857142857143,10.5708494049843,5.08333333333333,1127,17,526,0,901114,NA,NA,NA,NA,NA,"5",901204,NA,256,1,"0256K58","454","4682",89,39,"5",NA,"0",NA,"11",11,5,4,9,1,"70",50,21,0,8,3,3,NA,71,NA,1,NA,3,NA,NA,NA,NA,NA,NA,21,1,2,14,71,3,6,NA,NA,NA,NA,NA,21,71,55,74,37,15,95,3,3,"W","20",NA,NA,NA,"1",1,2,NA,1,NA,0,0,NA,NA,"P906",185,NA,"6.75",NA,"IFN2",14,39,21,"19901114",1990,11
"13396","25_1150","21",65757.6527777778,420.876405065234,21,37,NA,65757.6527777778,6806.25,NA,420.876405065234,127.323954473516,NA,6225.78769610363,2611.90945496366,7.25639027777778,548.200359538751,0,413.802852038928,63.6619772367581,0,42.4413181578388,28.2942121052258,0,0,0,11.3567741935484,4.76451612903226,12.9821229438421,8.86206896551724,1202,25,1150,0,910417,NA,NA,NA,NA,NA,"5",910611,NA,216,5,"0216495","402","4688",90,51,"2",NA,"0",NA,"12",12,3,5,9,1,"80",70,21,0,5,4,3,NA,37,NA,3,NA,3,NA,91,NA,2,NA,3,21,3,1,NA,37,3,6,NA,91,3,6,NA,21,37,91,22,15,99,NA,2,4,"W","20",NA,NA,NA,"1",1,3,NA,0,NA,0,0,NA,NA,"01",48,NA,"10.50",NA,"IFN2",15,51,21,"19910417",1991,10
"13404","25_1160","21",66981.25,636.619772367581,21,NA,NA,66981.25,NA,NA,636.619772367581,NA,NA,7289.29639360881,3485.49325371251,6.698125,636.619772367581,0,509.295817894065,127.323954473516,0,0,0,0,0,0,11.45,5.475,11.5742170361541,5.875,1212,25,1160,0,910417,NA,NA,NA,NA,NA,"5",910612,NA,251,5,"0251238","316","4681",90,234,"6",NA,"0",NA,"09",9,5,5,9,1,"30",80,21,0,9,1,3,NA,91,NA,1,NA,3,NA,NA,NA,NA,NA,NA,21,1,2,17,91,3,6,NA,NA,NA,NA,NA,21,91,37,NA,NA,NA,NA,2,2,"W","20",NA,NA,NA,"1",1,3,NA,1,NA,0,0,NA,NA,"P204",20,NA,"10.50",NA,"IFN2",17,234,21,"19910417",1991,10
"13418","25_1177","21",49415.5625,668.45076098596,21,NA,NA,49415.5625,NA,NA,668.45076098596,NA,NA,6355.05687765938,3103.52139029196,4.94155625,668.45076098596,127.323954473516,509.295817894065,31.8309886183791,0,0,0,0,0,0,9.50714285714286,4.64285714285714,9.70179782063,5.1,1228,25,1177,0,910417,NA,NA,NA,NA,NA,"5",910612,NA,251,5,"0251428","317","4671",89,234,"6",NA,"0",NA,"09",9,5,4,9,1,"00",65,21,0,6,1,3,NA,25,NA,2,NA,3,NA,44,NA,2,NA,3,21,1,2,15,25,1,2,15,44,3,6,NA,21,25,44,15,37,99,45,3,4,"W","20",NA,NA,NA,"1",1,2,NA,9,NA,0,0,NA,NA,"01",334,NA,"4.75",NA,"IFN2",15,234,21,"19910417",1991,10
"13437","25_1190","21",376220.361111111,1542.03455973481,21,NA,NA,376220.361111111,NA,NA,1542.03455973481,NA,NA,26341.2041146626,15011.8479100789,37.6220361111111,1542.03455973481,0,254.647908947033,509.295817894065,636.619772367581,127.323954473516,14.1471060526129,0,0,0,17.0821100917431,9.73509174311926,17.6250011386557,10.75,1241,25,1190,0,910418,NA,NA,NA,NA,NA,"5",910613,NA,252,5,"0252154","327","4687",89,202,"6",NA,"0",NA,"14",14,4,5,9,1,"70",90,21,0,9,3,4,NA,91,NA,1,NA,3,NA,NA,NA,NA,NA,NA,21,1,2,25,91,3,6,NA,NA,NA,NA,NA,21,91,37,NA,NA,NA,NA,2,4,"W","20",NA,NA,NA,"1",1,3,NA,0,3,4,0,NA,NA,"P414",8,NA,"8.75",NA,"IFN2",25,202,21,"19910418",1991,10
"13454","25_1277","21",44087.5625,668.45076098596,21,NA,NA,44087.5625,NA,NA,668.45076098596,NA,NA,6071.76107895581,3230.84534476548,4.40875625,668.45076098596,0,636.619772367581,31.8309886183791,0,0,0,0,0,0,9.08333333333333,4.83333333333333,9.16385887734035,4.7,1326,25,1277,0,910311,NA,NA,NA,NA,NA,"5",910405,NA,252,5,"0252362","320","4679",90,234,"1",NA,"0",NA,"12",12,5,5,9,1,"60",80,21,0,9,2,3,NA,45,NA,1,NA,3,NA,NA,NA,NA,NA,NA,21,1,2,15,45,3,6,NA,NA,NA,NA,NA,21,45,15,76,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,2,NA,1,NA,0,0,NA,NA,"G204",304,NA,"7.50",NA,"IFN2",15,234,21,"19910311",1991,10
"13501","25_1610","21",193783.076388889,820.532151051549,21,NA,NA,193783.076388889,NA,NA,820.532151051549,NA,NA,13806.6913132219,6972.75489568159,19.3783076388889,820.532151051549,0,127.323954473516,413.802852038928,222.816920328653,28.2942121052258,28.2942121052258,0,0,0,16.8265086206897,8.49784482758621,17.3406423512848,10.3382352941176,1650,25,1610,0,910325,NA,NA,NA,NA,NA,"6",910530,NA,254,5,"0254174","377","4685",89,5,"1",NA,"0",NA,"11",11,5,5,9,1,"80",80,21,0,9,4,3,NA,91,NA,1,NA,1,NA,NA,NA,NA,NA,NA,21,1,2,35,91,3,6,NA,NA,NA,NA,NA,21,91,37,42,45,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,3,NA,0,NA,0,0,NA,NA,"M413",273,NA,"13.00",NA,"IFN2",35,5,21,"19910325",1991,10
"13503","25_1655","21",354877.701388889,1071.64328348543,21,NA,NA,354877.701388889,NA,NA,1071.64328348543,NA,NA,20837.8030213705,11416.7145844586,35.4877701388889,1071.64328348543,0,254.647908947033,95.4929658551372,381.971863420549,198.059484736581,127.323954473516,14.1471060526129,0,0,19.4447194719472,10.6534653465347,20.5337983076024,12.375,1695,25,1655,0,910326,NA,NA,NA,NA,NA,"6",910531,NA,254,5,"0254214","376","4683",89,241,"1",NA,"0",NA,"14",14,2,4,9,1,"70",80,21,0,9,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,43,NA,NA,NA,NA,NA,NA,NA,NA,21,91,37,42,15,95,95,3,1,"W","20",NA,NA,NA,"4",1,1,NA,0,NA,0,0,NA,NA,"01",90,NA,"04.50",NA,"IFN2",43,241,21,"19910326",1991,10
"13556","25_647","21",108992.75,477.464829275686,21,NA,NA,108992.75,NA,NA,477.464829275686,NA,NA,8088.25420793012,3421.83127647575,10.899275,477.464829275686,0,0,318.309886183791,159.154943091895,0,0,0,0,0,16.94,7.16666666666667,17.0483821324293,7.625,715,25,647,0,901129,NA,NA,NA,NA,NA,"2",910122,NA,214,5,"0214297","328","4699",89,201,"6",NA,"0",NA,"16",16,4,5,9,1,"00",70,21,0,9,1,3,NA,37,NA,1,NA,3,NA,NA,NA,NA,NA,NA,21,2,1,22,37,3,6,NA,NA,NA,NA,NA,21,37,91,NA,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,3,NA,9,NA,0,0,NA,NA,"01",222,NA,"12.00",NA,"IFN2",22,201,21,"19901129",1990,11
"13574","25_965","21",107672.5625,1114.08460164327,21,NA,NA,107672.5625,NA,NA,1114.08460164327,NA,NA,12231.0573766122,5745.49344561742,10.76725625,1114.08460164327,0,1018.59163578813,95.4929658551372,0,0,0,0,0,0,10.9785714285714,5.15714285714286,11.0929868449781,5.21428571428571,1021,25,965,0,910410,NA,NA,NA,NA,NA,"5",910605,NA,215,5,"0215409","364","4692",89,140,"6",NA,"0",NA,"11",11,4,4,9,1,"90",60,21,0,8,1,3,NA,37,NA,1,NA,2,NA,91,NA,1,NA,2,21,1,2,15,37,3,6,NA,91,3,6,NA,21,37,91,99,43,15,45,2,2,"W","20",NA,NA,NA,"1",1,2,NA,0,NA,0,0,NA,NA,"01",358,NA,"5.25",NA,"IFN2",15,140,21,"19910410",1991,10
