"","PLOT_ID","specie","G_sp","N_sp","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","INVENTORY_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","Fecha_IFN2","Anyo_IFN2","EXEC_TIME"
"28","1_1003","21",361251.486111111,884.194128288307,21,NA,NA,361251.486111111,NA,NA,884.194128288307,NA,NA,19768.81232027,9650.09471613859,36.1251486111111,884.194128288307,0,0,159.154943091895,300.626003618025,311.236333157484,84.8826363156775,28.2942121052258,0,0,22.358,10.914,22.8079402840327,12.5,997,1,1003,0,960617,0,45,4,0,0,NA,960617,0,138,6,"0138J10","537","4739",96,21,"0","6","0","0","07",7,0,5,1,1,"08",90,21,5,0,3,3,25,NA,5,NA,3,NA,0,NA,"0",NA,0,NA,21,1,2,31,NA,NA,NA,NA,NA,NA,NA,NA,21,15,41,NA,NA,NA,NA,3,4,"W","20",1,NA,NA,NA,1,1,0,NA,0,NA,9,NA,NA,"P404",80,NA,"10,00",NA,"IFN2",31,21,21,"19960617",1996,9
"30","1_1013","21",78556.2569444444,427.949958091541,21,44,25,78556.2569444444,30385.875,8836,427.949958091541,254.647908947033,127.323954473516,10588.9320415551,4603.11463186893,11.7778131944444,809.92182151209,0,381.971863420549,286.478897565412,127.323954473516,14.1471060526129,0,0,0,0,13.0740174672489,5.68340611353712,13.6071082598951,6.56451612903226,1007,1,1013,0,960627,0,17,4,2,3,NA,960627,0,138,5,"0138C11","527","4738",96,59,"0","6","0","0","07",7,0,4,2,1,"01",40,21,6,5,6,3,44,21,4,3,6,2,0,44,"0",2,0,3,21,1,2,27,21,1,2,15,44,3,6,NA,21,21,44,25,45,78,NA,3,7,"G","20",1,NA,NA,NA,1,2,0,NA,0,NA,0,NA,NA,"01",340,NA,"06,50",NA,"IFN2",27,59,21,"19960627",1996,9
"46","1_1027","21",281355.248888889,471.947457915167,21,25,NA,281355.248888889,22144.13,NA,471.947457915167,10.1859163578813,NA,13200.7778345415,7902.29049886852,30.3499378888889,482.133374273048,0,0,0,127.323954473516,141.471060526129,84.8826363156775,113.176848420903,0,15.278874536822,27.3799295774648,16.3902582159624,28.310684177798,19.7853107344633,1021,1,1027,0,960709,0,31,4,6,3,NA,960709,0,138,5,"0138C13","530","4737",96,59,"0","2","0","0","06",6,0,4,1,1,"05",40,21,0,7,4,4,0,25,0,2,0,4,0,NA,"0",NA,0,NA,21,1,2,57,25,1,2,58,NA,NA,NA,NA,21,25,15,41,44,65,74,3,8,"G","20",1,NA,NA,NA,1,2,0,NA,0,NA,0,"P112","M906","M913",315,NA,"06,25",NA,"IFN2",57,59,21,"19960709",1996,9
"130","1_113","21",137500.284722222,233.427249868113,21,28,95,137500.284722222,132618.895555556,12656.25,233.427249868113,146.56401870507,127.323954473516,12542.3502981939,7593.67138033077,28.2775430277778,507.315223046699,0,127.323954473516,31.8309886183791,31.8309886183791,113.176848420903,42.4413181578388,113.176848420903,42.4413181578388,5.09295817894065,24.7229921918572,14.968349135527,26.6401673110625,20.6711956521739,110,1,113,0,960611,0,26,4,5,4,NA,960611,0,86,3,"0086168","496","4770",96,10,"0","2","0","0","03",3,0,3,1,1,"08",80,21,0,5,4,4,0,28,0,5,0,4,0,NA,"0",NA,0,NA,21,1,2,39,28,1,2,23,NA,NA,NA,NA,21,28,95,9,15,37,76,3,3,"W","20",1,NA,NA,NA,1,2,0,NA,0,NA,0,NA,NA,"01",0,NA,"04,00",NA,"IFN2",39,10,21,"19960611",1996,9
"146","1_1164","21",250370.25,1846.19733986599,21,NA,NA,250370.25,NA,NA,1846.19733986599,NA,NA,23866.8752660606,10631.5501985386,25.037025,1846.19733986599,0,891.267681314614,859.436692696235,95.4929658551372,0,0,0,0,0,12.9275862068966,5.75862068965517,13.1403629299588,6.875,1158,1,1164,0,960717,0,37,4,3,2,NA,960717,0,139,3,"0139379","545","4736",96,37,"0","2","0","0","07",7,0,3,1,1,"05",90,21,3,9,3,3,25,NA,7,NA,4,NA,0,NA,"0",NA,0,NA,21,1,2,20,NA,NA,NA,NA,NA,NA,NA,NA,21,37,76,95,15,43,NA,2,1,"W","20",1,NA,NA,NA,1,3,0,NA,4,NA,0,NA,NA,"01",190,NA,"04,00",NA,"IFN2",20,37,21,"19960717",1996,9
"173","1_126","21",216851.652777778,615.399113288662,21,28,44,216851.652777778,73368.8611111111,35416.69,615.399113288662,213.338359273403,273.887973178586,20126.0974836287,11478.7496444993,33.6349453888889,1229.94940021417,0,636.619772367581,127.323954473516,190.985931710274,127.323954473516,70.7355302630646,56.5884242104517,0,20.3718327157626,16.3633540372671,9.33270071313549,18.659792079889,16.1639784946237,123,1,126,0,960612,0,37,4,4,4,NA,960612,0,86,3,"0086168","496","4769",96,10,"0","2","0","0","04",4,0,4,1,1,"08",70,21,5,6,3,4,44,44,5,2,3,4,0,NA,"0",NA,0,NA,21,1,2,34,44,3,6,NA,NA,NA,NA,NA,21,44,28,71,9,15,45,3,2,"W","20",1,NA,NA,NA,1,2,0,NA,0,NA,4,NA,NA,"01",110,NA,"04,50",NA,"IFN2",34,10,21,"19960612",1996,9
"222","1_1345","21",179747.173611111,263.277643639126,21,55,44,179747.173611111,80478.7291666667,5402.25,263.277643639126,265.258238486492,31.8309886183791,13209.506598976,6342.99646974953,26.5628152777778,560.366870743998,0,0,63.6619772367581,222.816920328653,155.618166578742,42.4413181578388,56.5884242104517,14.1471060526129,5.09295817894065,23.5729613733906,11.319363797021,24.5672126242934,13.0923913043478,1338,1,1345,0,960613,0,29,4,4,0,NA,960613,0,170,4,"0170A08","522","4721",96,44,"0","6","0","0","08",8,0,2,1,1,"08",80,21,0,6,3,4,0,55,0,2,0,4,0,NA,"0",NA,0,NA,21,1,2,36,55,3,6,NA,NA,NA,NA,NA,21,55,44,9,74,76,15,3,3,"W","20",1,NA,NA,NA,1,3,0,NA,0,NA,0,NA,NA,"01",47,NA,"02,00",NA,"IFN2",36,44,21,"19960613",1996,9
"252","1_147","21",201540.495555556,181.082957473445,21,44,NA,201540.495555556,9765.0625,NA,181.082957473445,63.6619772367581,NA,7645.6549215211,3460.52361152965,21.1305558055556,244.744934710203,0,0,63.6619772367581,0,0,28.2942121052258,70.7355302630646,56.5884242104517,25.4647908947033,31.2392774566474,14.1393063583815,33.1553535594658,16.9692307692308,144,1,147,0,960625,0,18,4,4,5,NA,960625,0,86,3,"0086227","497","4767",96,10,"0","2","0","0","04",4,0,4,1,1,"08",70,21,0,8,4,4,0,44,0,2,0,4,0,NA,"0",NA,0,NA,21,1,2,78,44,3,6,NA,NA,NA,NA,NA,21,44,15,41,57,3,65,3,2,"W","20",1,NA,NA,NA,1,2,0,NA,0,NA,0,NA,NA,"M406",25,NA,"05,50",NA,"IFN2",78,10,21,"19960625",1996,9
"265","1_153","21",261640.722222222,311.236333157484,21,NA,NA,261640.722222222,NA,NA,311.236333157484,NA,NA,10140.6456185129,4449.26485354676,26.1640722222222,311.236333157484,0,0,0,0,0,169.765272631355,127.323954473516,14.1471060526129,0,32.5818181818182,14.2954545454545,32.7161796224881,14.8125,150,1,153,0,960610,0,22,4,5,3,NA,960610,0,86,3,"0086231","492","4766",96,10,"0","2","0","0","05",5,0,4,1,1,"08",75,21,8,9,4,4,44,NA,2,NA,3,NA,0,NA,"0",NA,0,NA,21,1,2,34,NA,NA,NA,NA,NA,NA,NA,NA,21,15,44,55,71,95,37,3,3,"W","20",1,NA,NA,NA,1,1,0,NA,0,NA,4,NA,"P406","P702",396,NA,"04,50",NA,"IFN2",34,10,21,"19960610",1996,9
"266","1_154","21",356094.236111111,799.31149197263,21,44,NA,356094.236111111,8622.3125,NA,799.31149197263,63.6619772367581,NA,18819.0109876627,10171.7692518287,36.4716548611111,862.973469209388,0,127.323954473516,190.985931710274,63.6619772367581,311.236333157484,42.4413181578388,113.176848420903,14.1471060526129,0,21.8071721311475,11.7868852459016,23.1971201487754,14.625,151,1,154,0,960610,0,43,4,4,2,NA,960610,0,86,2,"0086231","494","4766",96,10,"0","2","0","0","04",4,0,5,1,1,"08",85,21,0,8,4,4,0,NA,0,NA,0,NA,0,NA,"0",NA,0,NA,21,1,2,38,NA,NA,NA,NA,NA,NA,NA,NA,21,44,9,71,74,76,15,3,2,"W","20",1,NA,NA,NA,1,3,0,NA,0,NA,4,NA,NA,"P406",164,NA,"07,75",NA,"IFN2",38,10,21,"19960610",1996,9
