"","PLOT_ID","specie","G_sp","N_sp","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","INVENTORY_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","Fecha_IFN2","Anyo_IFN2","EXEC_TIME"
"14418","27_1187","21",320182.152777778,1428.8577113139,21,NA,NA,320182.152777778,NA,NA,1428.8577113139,NA,NA,23136.8845937458,12157.6692639642,32.0182152777778,1428.8577113139,0,254.647908947033,668.45076098596,350.14087480217,127.323954473516,28.2942121052258,0,0,0,16.1925742574257,8.50866336633663,16.8911464740532,10,627,27,1187,NA,892212,NA,NA,NA,NA,NA,"S",902501,NA,49,1,"0049K02","649","4792",87,48,"6","6","0","0","07",7,3,4,9,1,"00",90,21,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,27,NA,NA,NA,NA,NA,NA,NA,NA,21,65,41,NA,NA,NA,NA,2,9,"G","17",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"01",151,NA,"4.75",NA,"IFN2",27,48,21,"19892212",1989,9
"14419","27_1190","21",146574.534722222,293.552450591718,21,NA,NA,146574.534722222,NA,NA,293.552450591718,NA,NA,7306.4497596976,2762.22245677267,14.6574534722222,293.552450591718,0,0,31.8309886183791,63.6619772367581,127.323954473516,70.7355302630646,0,0,0,24.8897590361446,9.40963855421687,25.2139836178165,10.3125,630,27,1190,NA,892212,NA,NA,NA,NA,NA,"S",902501,NA,49,1,"0049K02","649","4791",87,18,"3","3","0","0","07",7,3,4,9,1,"00",60,21,0,7,2,4,NA,57,NA,2,NA,2,NA,73,NA,1,NA,3,21,1,2,30,57,3,6,NA,73,3,6,NA,21,57,73,NA,NA,NA,NA,2,9,"G","20",NA,NA,NA,"1",1,2,NA,0,NA,0,0,NA,NA,"01",353,NA,"6.50",NA,"IFN2",30,18,21,"19892212",1989,9
"14421","27_1192","21",288358.423611111,1414.71060526129,21,NA,NA,288358.423611111,NA,NA,1414.71060526129,NA,NA,22275.5026739673,11549.3437037019,28.8358423611111,1414.71060526129,0,381.971863420549,509.295817894065,509.295817894065,14.1471060526129,0,0,0,0,15.745625,8.16375,16.1097045674339,9.53225806451613,632,27,1192,NA,892212,NA,NA,NA,NA,NA,"S",902501,NA,49,1,"0049K03","651","4791",87,18,"3","3","0","0","08",8,3,4,9,1,"00",85,21,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,2,6,"G","20",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"01",81,NA,"5.50",NA,"IFN2",25,18,21,"19892212",1989,9
"14430","27_1201","21",308811.395833333,1584.47587789265,21,NA,NA,308811.395833333,NA,NA,1584.47587789265,NA,NA,23814.3541348403,10921.5658726172,30.8811395833333,1584.47587789265,0,509.295817894065,541.126806512444,477.464829275686,56.5884242104517,0,0,0,0,15.0297991071429,6.89285714285714,15.7528414741255,8.36764705882353,641,27,1201,NA,892212,NA,NA,NA,NA,NA,"S",902501,NA,49,1,"0049L03","649","4788",87,18,"3","3","0","0","07",7,3,3,9,1,"00",90,21,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,30,NA,NA,NA,NA,NA,NA,NA,NA,21,41,NA,NA,NA,NA,NA,2,12,"G","19",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"01",313,NA,"3.00",NA,"IFN2",30,18,21,"19892212",1989,9
"14432","27_1207","21",92381.875,795.774715459477,21,NA,NA,92381.875,NA,NA,795.774715459477,NA,NA,9415.60643331653,4360.84544071793,9.2381875,795.774715459477,0,509.295817894065,254.647908947033,31.8309886183791,0,0,0,0,0,11.832,5.48,12.1577547269222,7,646,27,1207,NA,892212,NA,NA,NA,NA,NA,"S",902501,NA,49,1,"0049L03","649","4787",87,53,"5","5","0","0","07",7,3,4,9,1,"00",45,21,0,9,2,3,NA,28,NA,1,NA,3,NA,NA,NA,NA,NA,NA,21,1,2,23,28,3,1,NA,NA,NA,NA,NA,21,28,NA,NA,NA,NA,NA,2,8,"G","20",NA,NA,NA,"1",1,2,NA,0,NA,0,0,NA,NA,"01",304,NA,"4.50",NA,"IFN2",23,53,21,"19892212",1989,9
"14466","27_1277","21",284729.277777778,1280.31309776147,21,NA,NA,284729.277777778,NA,NA,1280.31309776147,NA,NA,20911.8984893211,10062.1291799209,28.4729277777778,1280.31309776147,0,127.323954473516,732.112738222719,350.14087480217,28.2942121052258,28.2942121052258,14.1471060526129,0,0,16.3334254143646,7.85911602209945,16.8272454027777,9.03448275862069,715,27,1277,NA,892812,NA,NA,NA,NA,NA,"S",902601,NA,71,2,"0071M11","591","4764",87,20,"7","7","0","0","6",6,3,2,9,1,"70",90,21,0,0,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,30,NA,NA,NA,NA,NA,NA,NA,NA,21,73,41,72,NA,NA,NA,2,6,"G","20",NA,NA,NA,"1",1,2,NA,0,NA,4,0,NA,NA,"P714",61,NA,"2.25",NA,"IFN2",30,20,21,"19892812",1989,9
"14562","27_1626","21",200551.75,1432.39448782706,21,NA,NA,200551.75,NA,NA,1432.39448782706,NA,NA,18404.6776191468,8785.35285867262,20.055175,1432.39448782706,0,763.943726841098,509.295817894065,159.154943091895,0,0,0,0,0,12.8488888888889,6.13333333333333,13.351712332964,7.375,1047,27,1626,NA,901701,NA,NA,NA,NA,NA,"S",900102,NA,74,2,"0074J11","670","4778",87,35,"3","3","0","0","08",8,5,5,9,1,"00",70,21,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,21,25,NA,NA,NA,NA,NA,2,6,"G","20",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"01",167,NA,"7.25",NA,"IFN2",25,35,21,"19901701",1990,8
"14563","27_1630","21",44116,763.943726841098,21,NA,NA,44116,NA,NA,763.943726841098,NA,NA,6506.25407359668,3055.77490736439,4.4116,763.943726841098,0,763.943726841098,0,0,0,0,0,0,0,8.51666666666667,4,8.57476919028534,4.5,1049,27,1630,NA,901701,NA,NA,NA,NA,NA,"S",900102,NA,74,2,"0074J08","663","4777",87,18,"3","3","0","0","09",9,3,2,9,1,"70",70,21,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,2,8,"G","20",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"01",7,NA,"1.50",NA,"IFN2",25,18,21,"19901701",1990,8
"14570","27_1649","21",230375.125,1718.87338539247,21,NA,NA,230375.125,NA,NA,1718.87338539247,NA,NA,22004.7624318854,11952.5362262013,23.0375125,1718.87338539247,0,891.267681314614,732.112738222719,95.4929658551372,0,0,0,0,0,12.8018518518519,6.9537037037037,13.0632400552367,8.25,1064,27,1649,NA,901801,NA,NA,NA,NA,NA,"S",900102,NA,74,1,"0074K05","655","4775",87,18,"3","3","0","0","09",9,3,2,9,1,"90",90,21,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,32,NA,NA,NA,NA,NA,NA,NA,NA,21,41,NA,NA,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,4,0,NA,NA,"P413",353,NA,"2.25",NA,"IFN2",32,18,21,"19901801",1990,8
"14575","27_1667","21",291149.215277778,2051.33037762887,21,NA,NA,291149.215277778,NA,NA,2051.33037762887,NA,NA,26722.9991392575,18426.6056335283,29.1149215277778,2051.33037762887,0,1018.59163578813,859.436692696235,159.154943091895,14.1471060526129,0,0,0,0,13.0271551724138,8.98275862068966,13.4429649272206,11.4354838709677,1081,27,1667,NA,901801,NA,NA,NA,NA,NA,"S",900102,NA,74,1,"0074K08","664","4774",87,18,"3","3","0","0","07",7,4,4,9,1,"70",80,21,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,28,NA,NA,NA,NA,NA,NA,NA,NA,21,72,NA,NA,NA,NA,NA,2,9,"G","20",NA,NA,NA,"1",1,1,NA,0,2,4,0,NA,NA,"M413",274,NA,"6.00",NA,"IFN2",28,18,21,"19901801",1990,8
