"","PLOT_ID","specie","G_sp","N_sp","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","IFN3_ID","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","Estadillo","Clase","Subclase","PosEsp.x","Ocupa","Estado_pcespparc","FPMasa","Edad","FInfor","Fiabil","Barrena1","Barrena2","Barrena3","AltPer","OrgMasa1","OrgMasa2","TratMasa","INVENTORY_ID","PLOT_ID.x","Provincia","CoorX","Coory","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","Ano","INE","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosid","Textura","MatOrg","PhSuelo","FechaPh","HoraPh","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","Equipo","JefeEq","FechaIni","HoraIni","FechaFin","HoraFin","Tiempo","Resid","RumboF1","RumboF2","DistFoto","CarFoto1","NumFoto1","ConFoto1","CarFoto2","NumFoto2","ConFoto2","Estado_pcparcelas","Tecnico","MASTER_CLASE","AGE","MUNICIPALITY","PosEsp.y","SPECIE_IFN_ID","Fecha_IFN3","Anyo_IFN3","EXEC_TIME"
"16","1_1003",21,468781.729166667,923.098669932993,21,NA,NA,468781.729166667,NA,NA,923.098669932993,NA,NA,"1_1003_A_1",22876.7546812034,10923.3342608737,46.8781729166667,923.098669932993,0,0,95.4929658551372,190.985931710274,339.53054526271,198.059484736581,99.0297423682904,0,0,24.7825670498084,11.8333333333333,25.4282419468147,13.625,1003,"A","1",1,10,4,2,40,8,4,NA,NA,NA,NA,2,"2",1,"IFN3","1_1003",1,537000,4739000,0,1985,"j","0010","1997","","2-2 ","2005","",1,"1","2",90,80,1,1,1,2,2,4,"","",1,2,1,1,5,2,NA,NA,"0","0","","0","",80,NA,10,NA,1,"3",3,"ENCONTRADO REJON POR CROQUIS Y PIES DE IFN2.
01,MASA SEMIRREGULAR, EXISTEN DOS CLASES DIAMETRICAS.
01,[PIESMAY 010-021] COMPROBADA HT.
01,[PIESMAY 013-021] ENTRA POR CORRECCION DE PENDIENTE.
01,[PIES MAY 011-021] COMPROBADO DIAMETRO.
01,[PIESMAY 015-021] COMPROBADA HT.
01,[PIESMAY 016-021] ENTRA POR CORRECCION DE PENDIENTE.
01,[PIESMAY 018-021] DIAMETRO MEDIDO A 1.20MTS., POR BUSCAR COMPARACION CON IFN2.
01,[PIESMAY 020-021] COMPROBADA HT.
01,[PIESMAY 022-021] COMPROBADA DISTANCIA LATERAL, ENTRA POR PENDIENTE.
01,[PIESMAY 025-021] COMPROBADO DIAMETRO.
01,A 14.95MTS. Y 198G., UN PINO NO ENTRA POR DISTANCIA LATERAL.
01,[PIESMAY 030-021] ENTRA POR CORRECCION DE PENDIENTE.
01,[PIESMAY 032-021] COMPROBADA HT.
01,[PIESMAY 033-021] COMPROBADO DIAMETRO.
01,[PIESMAY 036-021] ENTRA POR CORRECCION DE PENDIENTE.
01,[PIESMAY 038-021] COMPROBADA HT.
01,[PIESMAY 041-021] COMPROBADA HT.
01,[PIESMAY 042-021] COMPROBADA HT.
01,[PIESMAY 043-021] ENTRA POR CORRECCION DE PENDIENTE.
01,[PIESMAY 046-021] COMPROBADA HT.
01,[PIESMAY 048-021] ENTRA POR CORRECCION DE PENDIENTE.
01,[PIESMAY 050-021] COMPROBADA HT.
01,[REGENERACIÓN] SOLO DE LAS ESPECIES QUE APARECEN EN SU APARTADO.
01,QUEJIGOS PUEDEN ESTAR HIBRIDADOS.
01,PRESENCIA IMPORTANTE DE HELECHOS.
01,PIES MUERTOS EN EL SUELO POR DOMINANCIA.",9,9900000000000036,"07/19/05 00:00:00","12/30/99 09:38:21","07/19/05 00:00:00","12/30/99 12:55:56",NA,"1051","116","389","10",224372,8,32,224372,9,31,"T",9900000010051276,"A1",40,21,1,21,5-07-19,2005,9
"18","1_1013",21,158600.284722222,357.214427828476,21,44,41,158600.284722222,39875.125,6724,357.214427828476,318.309886183791,31.8309886183791,"1_1013_A_1",13202.6098847753,6730.4857045306,20.9621659722222,739.186291249025,0,159.154943091895,254.647908947033,127.323954473516,127.323954473516,56.5884242104517,14.1471060526129,0,0,17.861004784689,9.10526315789474,19.0018631043223,10.6875,1013,"A","1",1,6,4,3,NA,NA,NA,NA,NA,NA,NA,1,"1",1,"IFN3","1_1013",1,527000,4738000,0,1986,"c","11  ","1997","","2-2 ","2005","",1,"1","1",100,90,1,2,1,2,1,4,"","",1,2,1,1,6,8,NA,NA,"0","6","","0","",340,NA,6.5,NA,2,"2",2,"[IDENTIFICACIÓN Y CLASIFICACIÓN]PARCELA LOCALIZADA MEDIANTE FOTOGRAFIAS AEREAS DEL IFN2.
01,DEJO UN 10% PARA EL RESTO DE SP.
01,PIE A 25 Y 9.9 CON 120 127 
01,[PIESMAY 008-021]ENTRA POR PENDIENTE.
01,[PIESMAY 009-021]DIAMETRO COMPROBADO.
01,[PIESMAY 019-044]FORMA COMPROBADA.
01,[PIESMAY 022-041]SP COMPROBADA
01,PIE 24, HT COMP.
01,[PIES MAYORES]PIE A 344G Y 12M 220-222",9,9900000010051012,"06/24/05 00:00:00","12/30/99 10:47:06","06/24/05 00:00:00","12/30/99 12:51:05",NA,"1051","281","15","10",224364,12,28,224364,13,27,"T",9900000010051276,"A1",36,59,1,21,5-06-24,2005,9
"22","1_1027",25,29722.24,10.1859163578813,21,25,65,350099.490277778,29722.24,6972.25,474.635408065163,10.1859163578813,127.323954473516,"1_1027_A_1",15791.0634379038,9066.24364934725,38.6793980277778,612.145278896561,0,127.323954473516,0,95.4929658551372,113.176848420903,99.0297423682904,99.0297423682904,42.4413181578388,35.6507072525846,25.7962676219089,14.8106078114167,28.3640119949593,21.3404255319149,1027,"A","1",2,2,4,2,66,8,4,NA,NA,NA,NA,2,"2",1,"IFN3","1_1027",1,530000,4737000,0,1986,"c","0013","1997","","2-3 ","2005","",1,"1","2",100,70,1,2,1,2,2,4,"","",1,2,1,1,2,2,NA,NA,"0","0","","0","",315,NA,6.2,NA,2,"2",2,"[CLAESP. RESTO DE ESPECIES=10%]
01,ENCONTRADO REJON POR FOTOGRAFIA AEREA Y PIES DE IFN2.
01,EL RADIO DE PARCELA COGE PARTE DE UN CLARO PEQUEÑO, TESELADO, AL SER MUY PEQUEÑA LA TESELA, LO HE CONSIDERADO UN CLARO EN EL PINAR Y LEVANTAR LA PARCELA COMO A1.
01,[PIESMAY 003-021] COMPROBADA HT.
01,[PIESMAY 004-021] COMPROBADA FORMA.
01,[PIESMAY 005-021] COMPROBADO HT. Y FORMA.
01,[PIESMAY 006-021] COMPROBADO HT. Y FORMA.
01,[PIESMAY 007-021] COMPROBADA HT. Y FORMA.
01,[PIESMAY 008-021] COMPROBADA FORMA.
01,[PIESMAY 009-021] COMPROBADO HT. Y FORMA.
01,[PIESMAY 010-021] COMPROBADO DIAMETRO.
01,[PIESMAY 011-021] COMPROBADA FORMA.
01,[PIESMAY 012-021] COMPROBADO HT. Y FORMA.
01,[PIESMAY 014-021] COMPROBADO DIAMETRO.
01,[PIESMAY 020-025] COMPROBADA FORMA Y CALIDAD.
01,[PIESMAY 021-021] COMPROBADA FORMA.
01,[PIESMAY 023-021] COMPROBADO DIAMETRO Y DISTANCIA LATERAL, ENTRA POR CORRECCION DE PENDIENTE.
01,[PIESMAY 027-025] COMPROBADA CALIDAD Y FORMA. MEDIDO CON CINTA.
01,[PIESMAY 030-021] COMPROBADA FORMA.
01,[PIESMAY 031-021] COMPROBADA FORMA.
01,A 19MTS. Y 370G., UN PINO NO ENTRA POR POCOS MM. DE DIAMETRO.
01,[PIESMAY 032-021] COMPROBADA CALIDAD Y FORMA.
01,[PIESMAY 033-021] COMPROBADA FORMA.
01,A 4.1MTS. Y 397G., UN ACEBO NO ENTRA POR POCOS MM. DE DIAMETRO.
01,[PIESMAY 036-021] COMPROBADA FORMA.
01,[REGENERACIÓN] SOLO DE LAS ESPECIES QUE APARECEN EN SU APARTADO.
01,RESTOS DE UN ANTIGUO INCENDIO EN EL FUSTE DE LA MAYORIA DE LOS PINOS, SIN AFECTAR SU CALIDAD.
01,HAY VARIOS PINOS CON SILICONA A 1MT. DE HT., SIN CORRESPONDER A TIPOS.",9,9900000000000036,"08/08/05 00:00:00","12/30/99 09:40:37","08/08/05 00:00:00","12/30/99 12:25:37",NA,"1051","166","362","10",224372,36,4,224372,37,3,"T",9900000010051276,"A1",66,59,1,21,5-08-08,2005,9
"69","1_1118",18,561515.375555556,982.799457475019,21,18,25,655140.691388889,561515.375555556,16230.76,918.288653875105,982.799457475019,5.09295817894065,"1_1118_A_3E",30771.3562279323,20164.8605542129,69.8100628888889,1148.60354041164,0,0,159.154943091895,205.133037762887,240.50080289442,297.089227104871,141.471060526129,84.8826363156775,20.3718327157626,26.7902327872891,17.555979800468,27.8181983002052,18.8333333333333,1118,"A","3E",1,8,4,3,NA,NA,NA,NA,NA,NA,NA,2,"5",1,"IFN3","1_1118",1,541007,4739000,0,1997,"","1-1 ","1992","00","1747","2005","",1,"1","2",90,90,1,2,1,1,2,4,"","",1,2,1,1,8,2,NA,NA,"0","0","","0","",170,NA,9.2,NA,2,"3",3,"PARCELA CLASIFICADA A3E AL QUEDAR EL CRUCE DE COORDENADAS EN DISTINTA TESELA QUE LA PARCELA DE IFN2, POR DESPLAZAMIENTO DE ESTA.
01,[PIESMAY 002-018] COMPROBADO DIAMETRO.
01,[PIESMAY 029-018] COMPROBADA DIST.LATERAL, ENTRA POR PENDIENTE, DIST.REDUCIDA 15MTS.
01,A 15.8MTS. Y 204G., UN PINO SILVESTRE NO ENTRA POR DIST.LATERAL.
01,[PIESMAY 046-021] GUIA PARTIDA, INFLUYENDO NIEVE TAMBIEN.
01,A 15.5MTS. Y 311G., UN P.SILVESTRE NO ENTRA POR DIST.LATERAL.
01,[PIESMAY 057-021] COMPROBADA DIST.LATERAL, ENTRA POR PENDIENTE, DIST.REDUCIDA 14.9MTS.
01,[PIESMAY 060-018] ENTRA POR CORRECCION DE PENDIENTE, DIST.REDUCIDA AL LATERAL 24.9MTS.
01,A 15.8MTS Y 391G., UN CIPRES-018-, NO ENTRA POR DISTANCIA LATERAL.
01,A 10.5MTS. Y 398G. UN CIPRES-018- NO ENTRA POR DISTANCIA LATERAL.
01,[REGENERACIÓN] NO HAY EN 5MTS. DE RADIO.
01,ARBOLES CAIDOS POR NIEVE Y VIENTO.
01,NOS ACOMPAÑA EN LOCALIZACION Y LEVANTAMIENTO GEMA SALVADOR.
01,PRECISION GPS: 12.7.",9,9900000000000036,"11/23/05 00:00:00","12/30/99 10:53:52","11/23/05 00:00:00","12/30/99 14:06:33",NA,"1051","390","122","10",224014,8,32,224014,9,31,"T",9900000010051276,"A3E",47,27,1,21,5-11-16,2005,9
"73","1_1118",18,561515.375555556,982.799457475019,21,18,25,655140.691388889,561515.375555556,16230.76,918.288653875105,982.799457475019,5.09295817894065,"1_1118_A_3C",21832.7548429448,10933.3787061711,53.4786198055556,757.577529117422,0,0,63.6619772367581,159.154943091895,113.176848420903,141.471060526129,141.471060526129,113.176848420903,25.4647908947033,28.8191690009337,14.4320261437908,29.9799988803616,19.0974358974359,1118,"A","3C",2,2,4,3,NA,NA,NA,NA,NA,NA,NA,2,"2",1,"IFN3","1_1118",1,541000,4739000,0,1992,"00","1747","1997","","1-1 ","2005","",1,"1","2",100,80,1,2,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",135,NA,7.2,NA,2,"3",3,"ENCONTRADO REJON POR FOTOGRAFIA AEREA Y PIES DE IFN2.
01,PARCELA DESPLAZADA EN IFN2 PARA ENCAJARLA EN PINAR DE SILVESTRE, QUEDANDO EL CRUCE DE COORDENADAS EN OTRA TESELA DISTINTA, POR LO QUE LA PARCELA ESTA CLASIFICADA A3C.
01,RESTO DE ESPECIES SOLO PRESENTES.
01,[PIESMAY 002-021] GUIA TERMINAL PARTIDA A CAUSA DE NIEVE Y VIENTO.
01,[PIESMAY 003-021] COMPROBADA HT., ESTA DOMINADO.
01,[PIESMAY 011-021] COMPROBADO DIAMETRO.
01,[PIESMAY 013-021] ENTRA JUSTO POR CORRECCION DE PENDIENTE, DIST.LATERAL REDUCIDA 10.0MTS, DOMINADO.
01,[PIESMAY 014-021] ENTRA POR CORRECCION DE PENDIENTE, DISTANCIA LATERAL REDUCIDA 14.3MTS.
01,A 16.1MTS. Y 166G., UN P.SILVESTRE NO ENTRA POR POCOS MM. DE DIAMETRO.
01,[PIESMAY 024-021] COMPROBADO DIAMETRO.
01,A 16.8MTS. Y 212G., UN PINO NO ENTRA POR POCOS MM. DE DIAMETRO.
01,[PIESMAY 032-021] COMPROBADA HT., GUIA TERMINAL PARTIDA POR DOMINANCIA.
01,[PIESMAY 033-021] COMPROBADO RUMBO.
01,[PIESMAY 035-021] GUIA TERMINAL PARTIDA POR DOMINANCIA.
01,PIE 36M, RUMBO COMPROBADO.
01,[PIESMAY 041-021] ENTRA POR CORRECCION DE PENDIENTE, DIST.REDUCIDA AL LATERAL 15MTS. RUMBO COMPROBADO.
01,[PIESMAY 047-021] COMPROBADA HT., GUIA PARTIDA.
01,DAÑOS POR DOMINANCIA Y CAUSAS METEREOLOGICAS(NIEVE, VIENTO), ALGUNOS PINOS CON GUIA PARTIDA.
01,ABUNDANCIA DE ZARZAS Y HELECHOS.
01,FUERA DE LA PARCELA HAY SAUCE..-657- Y AVELLANO-074-.",9,9900000000000036,"11/16/05 00:00:00","12/30/99 11:15:06","11/23/05 00:00:00","12/30/99 10:48:49",NA,"1051","","","",NA,NA,NA,NA,NA,NA,"T",9900000010051276,"A3C",47,27,1,21,5-11-16,2005,9
"77","1_113",21,75898.8511111111,104.122700547231,28,21,215,92051.3044444445,75898.8511111111,7656.25,67.906109052542,104.122700547231,127.323954473516,"1_113_A_1",7553.58555533069,4617.54468004259,18.2453968055556,331.183752691668,0,127.323954473516,31.8309886183791,0,42.4413181578388,42.4413181578388,14.1471060526129,42.4413181578388,30.5577490736439,22.8078385305425,13.9425459205468,26.4848308965845,21.4413407821229,113,"A","1",1,5,4,2,48,8,4,NA,NA,NA,NA,2,"2",1,"IFN3","1_113",1,495978,4770006,0,1992,"01","1968","2002","","3-2 ","2005","",1,"1","2",100,75,1,2,1,3,2,4,"","",1,2,1,1,6,3,NA,NA,"0","3","","0","",370,NA,5.5,NA,1,"1",2,"PARCELA LOCALIZADA MEDIANTE FOTOGRAFIA AEREA Y PIES. 
01,CLAESP. RESTO DE ESPECIES=20%
01,PIES 2, 14 Y 18, COMPROBADAS ALTURAS. 
01,PIE 1, COMPROBADA ESPECIE. 
01,LE HE BAJADO LA CALIDAD A ALGUNOS PIES AL TENER HIEDRA EN EL FUSTE.
01,EN LA ZONA DE LA PARCELA SE HAN REALIZADO CLARAS.",10,9900000010051020,"09/29/05 00:00:00","12/30/99 14:15:25","09/29/05 00:00:00","12/30/99 15:16:34",NA,"1002","370","20","7",473957,28,12,473957,29,11,"T",9900000010051024,"A1",48,10,1,21,5-09-29,2005,9
"85","1_1164",21,262509.618055556,735.649514735872,21,NA,NA,262509.618055556,NA,NA,735.649514735872,NA,NA,"1_1164_A_4",15467.5615637987,7683.64697482539,26.2509618055556,735.649514735872,0,0,95.4929658551372,427.949958091541,183.912378683968,28.2942121052258,0,0,0,21.0257211538462,10.4447115384615,21.3153364906946,11.125,1164,"A","4",1,8,4,3,NA,NA,NA,NA,NA,NA,NA,1,"1",1,"IFN3","1_1164",1,545000,4736000,0,1997,"","1-3 ","1992","13","1679","2005","",1,"1","1",100,95,1,3,1,3,2,4,"","",1,2,1,1,6,5,NA,NA,"0","6","","0","",190,NA,4,NA,2,"2",3,"[IDENTIFICACIÓN Y CLASIFICACIÓN]PARCELA LOCALIZADA MEDIANTE LA ORTOFOTO DEL IFN3. 
01,DEPLAZO LA PARCELA, POR ESTAR IMPLANTADA A MENOS DE 25M DEL CAMBIO DE TESELA, 9.5M A 0G.
01,EL ENEBRO ESTA FORMANDO SUBPISO CON RESPECTO AL PINO.
01,[PIESMAY 001-021]ARBOL MEDIDO A 1.2M
01,[PIESMAY 005-021]MEDIDO A 1.2M
01,PIE A 209 NO ENTRA POR DIAMETRO REDUCIDO.
01,",6,9900000010051012,"05/24/05 00:00:00","12/30/99 11:28:52","05/24/05 00:00:00","12/30/99 13:15:41",NA,"1051","280","200","10",224375,2,38,224375,3,37,"T",9900000010051024,"A4",29,37,1,21,5-05-24,2005,9
"104","1_126",71,59491.0725,47.109863155201,44,21,28,255051.256944444,243850.375277778,105344.003333333,483.265142757257,441.672650962575,108.791245544593,"1_126_A_3E",11630.4561362545,5516.8762118072,31.2124840833333,403.051051438942,0,0,63.6619772367581,95.4929658551372,56.5884242104517,42.4413181578388,56.5884242104517,42.4413181578388,45.8366236104659,28.8560372060372,13.6877851877852,31.4006904095413,17.4502762430939,126,"A","3E",3,1,4,4,NA,NA,NA,NA,NA,NA,NA,1,"4",2,"IFN3","1_126",1,496000,4769000,0,2002,"","3-2 ","1992","01","1968","2005","",1,"1","1",100,100,1,2,1,3,1,4,"","",1,2,1,1,8,3,NA,NA,"0","0","","0","",50,NA,9,NA,1,"1",2,"PARCELA LOCALIZADA MEDIANTE ORTOFOTO.
01,CLAESP. RESTO DE ESPECIES=10%
01,PIE 28, ENTRA POR CORRECCION DE PENDIENTE. 
01,PIES 3 Y 6, MEDIDOS SUS DIAMETROS CON CINTA METRICA. 
01,LE HE BAJADO LA CALIDAD A ALGUNOS PIES AL PRESENTAR DAÑOS POR HIEDRA EN EL FUSTE.",10,9900000010051020,"09/14/05 00:00:00","12/30/99 14:03:41","09/14/05 00:00:00","12/30/99 15:17:49",NA,"1002","200","55","10",224348,36,4,224348,37,3,"T",9900000010051024,"A3E",43,10,1,21,5-09-14,2005,9
"108","1_126",44,255051.256944444,483.265142757257,44,21,28,255051.256944444,243850.375277778,105344.003333333,483.265142757257,441.672650962575,108.791245544593,"1_126_A_3C",18433.9762757817,11228.2751318378,39.0032242222222,882.920888743572,0,254.647908947033,127.323954473516,159.154943091895,70.7355302630646,127.323954473516,56.5884242104517,56.5884242104517,30.5577490736439,20.8784008972921,12.7171927575709,23.7161625472375,20.4860335195531,126,"A","3C",2,2,3,4,NA,NA,NA,NA,NA,NA,NA,1,"4",2,"IFN3","1_126",1,495958,4768989,0,1992,"01","1968","2002","","3-2 ","2005","",1,"1","1",100,95,1,2,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",120,NA,4.5,NA,1,"1",2,"PARCELA LOCALIZADA MEDIANTE FOTOGRAFIA AEREA Y PIES Y CLASIFICADA COMO A3C, YA QUE TANTO EL PINCHAZO DE LA FOTOGRAFIA AEREA COMO EL CRUCE DE COORDENADAS CAEN EN DOS TESELAS FORESTALES DIFERENTES. 
01,CLAESP. RESTO DE ESPECIES=20%
01,EN LA ESPECIE 044, HAY PIES EN ESTADO 4, AUNQUE PREDOMINA EL 3.
01,PIES 21, 26, 31 Y 38, ENTRAN POR CORRECCION DE PENDIENTE. 
01,A 220 Y A 226 GRADOS, HAY DOS PINOS QUE NO ENTRAN POR DIAMETRO. 
01,LE HE BAJADO LA CALIDAD A BASTANTES PIES, AL PRESENTAR DAÑOS EN EL FUSTE POR HIEDRA Y ZARZAPARRILLA.
01,DE LA ESPECIE 044, HAY 6 PIES MENORES DE 45 DM, ESCASEZ DE LA 2 Y NORMALIDAD DE LA 1. DE LA ESPECIE 215, HAY 2 PIES MENORES DE 30 DM, ESCASEZ DE LA 3  Y 1. DE LA ESPECIE 25, HAY ESCASEZ DE LA 2.
01,",10,9900000010051020,"09/14/05 00:00:00","12/30/99 11:44:46","09/14/05 00:00:00","12/30/99 13:28:19",NA,"1002","","","",NA,NA,NA,NA,NA,NA,"T",9900000010051024,"A3C",43,10,1,21,5-09-14,2005,9
"141","1_1345",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1345_A_1",14049.3000349182,7682.72741293197,32.5848096944444,513.964362891427,0,0,63.6619772367581,95.4929658551372,113.176848420903,141.471060526129,28.2942121052258,56.5884242104517,15.278874536822,27.3351637764933,14.9479768786127,28.4116299972858,18.6949152542373,1345,"A","1",3,1,2,4,NA,NA,NA,NA,NA,NA,NA,1,"4",2,"IFN3","1_1345",1,522000,4721000,0,1991,"A","8013","2002","","1-2 ","2005","",1,"1","2",100,100,1,2,1,3,2,4,"","",1,2,1,1,9,3,NA,NA,"0","0","","0","",47,NA,2,NA,1,"2",2,"ENCUENTRO EL CENTRO DE PARCELA PERO NO EL REJON.
01,PARCELA QUE EN ORTOFOTO ESTA ENTRE DOS TESELAS PERO EN MONTE NO APRECIO CAMBIO
01,CLAESP. RESTO DE ESPECIES=10%.
01,PIESMAY 021-055.TUMBADO
01,PIESMAY 022-055.TUMBADO
01,DAÑOS EN GENERAL DE ENREDADERA",11,9.9e+15,"07/27/05 00:00:00","12/30/99 11:19:11","07/27/05 00:00:00","12/30/99 12:55:50",NA,"1001","357","243","10",223972,26,14,223972,27,13,"T",9900000010051024,"A1",45,44,1,21,5-07-27,2005,9
