"","PLOT_ID","specie","G_sp","N_sp","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","IFN3_ID","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","Estadillo","Clase","Subclase","PosEsp.x","Ocupa","Estado_pcespparc","FPMasa","Edad","FInfor","Fiabil","Barrena1","Barrena2","Barrena3","AltPer","OrgMasa1","OrgMasa2","TratMasa","INVENTORY_ID","PLOT_ID.x","Provincia","CoorX","Coory","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","Ano","INE","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosid","Textura","MatOrg","PhSuelo","FechaPh","HoraPh","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","Equipo","JefeEq","FechaIni","HoraIni","FechaFin","HoraFin","Tiempo","Resid","RumboF1","RumboF2","DistFoto","CarFoto1","NumFoto1","ConFoto1","CarFoto2","NumFoto2","ConFoto2","Estado_pcparcelas","Tecnico","MASTER_CLASE","AGE","MUNICIPALITY","PosEsp.y","SPECIE_IFN_ID","Fecha_IFN3","Anyo_IFN3","EXEC_TIME"
"37042","27_1187",21,463632.458333333,1389.95316966922,21,NA,NA,463632.458333333,NA,NA,1389.95316966922,NA,NA,"27_1187_A_1",26974.9944658197,15356.6836201113,46.3632458333333,1389.95316966922,0,254.647908947033,254.647908947033,413.802852038928,297.089227104871,127.323954473516,28.2942121052258,14.1471060526129,0,19.4071246819338,11.0483460559796,20.6082868902201,14.125,1187,"A","1",1,10,4,1,37,5,3,NA,NA,NA,NA,2,"2",1,"IFN3","27_1187",27,NA,NA,0,1985,"K","0002","1995","22","5852","1998","048",1,"1","2",100,90,1,1,1,2,1,4,"06/27/98 00:00:00","12/30/99 22:03:00",1,2,1,1,5,5,NA,NA,"0","0","","0","",158,0,5,0,1,"1",1,"- PIE CON RUMBO 25G SE VA POR DISTANCIA. 
27,- PIE CON RUMBO 36G SE VA POR DISTANCIA. 
27,- PIE 22 DIAMETRO COMPROBADO.
27,- PIES 21, 28, 33 Y 53 ENTRAN POR PENDIENTE.",11,NA,"05/11/98 00:00:00","12/30/99 12:30:00","05/11/98 00:00:00","12/30/99 15:20:00",NA,"018","","","",NA,NA,NA,NA,NA,NA,"D",NA,"A1",37,48,1,21,98-05-11,1998,9
"37043","27_1190",21,297691.111111111,413.802852038928,21,NA,NA,297691.111111111,NA,NA,413.802852038928,NA,NA,"27_1190_A_1",12275.7975995035,5289.24927542066,29.7691111111111,413.802852038928,0,0,31.8309886183791,0,113.176848420903,127.323954473516,99.0297423682904,42.4413181578388,0,29.665811965812,12.7820512820513,30.2650400556921,13.375,1190,"A","1",1,7,4,1,40,5,3,NA,NA,NA,NA,2,"2",1,"IFN3","27_1190",27,NA,NA,0,1985,"K","0002","","","","1998","018",1,"1","1",100,65,1,2,1,2,1,4,"06/27/98 00:00:00","12/30/99 20:23:00",1,2,1,1,5,6,NA,NA,"0","0","","0","",380,0,6.5,0,1,"1",1,"- EL 10% OCUPACIÓN PARA EL RESTO DE ESPECIES.
27,- PIE Nº 12 DIAMETRO COMPROBADO. PIE Nº 23 ENTRA POR PENDIENTE.",11,NA,"05/11/98 00:00:00","12/30/99 09:40:00","05/11/98 00:00:00","12/30/99 11:30:00",NA,"018","","","",NA,NA,NA,NA,NA,NA,"D",NA,"A1",40,18,1,21,98-05-11,1998,9
"37045","27_1192",273,10370.0277777778,14.1471060526129,21,273,NA,698734.305555556,10370.0277777778,NA,2097.30847229987,14.1471060526129,NA,"27_1192_A_2E",20163.8702567892,11717.3405880766,36.4524805555556,940.782552498759,0,31.8309886183791,254.647908947033,286.478897565412,212.206590789194,99.0297423682904,56.5884242104517,0,0,21.4330827067669,12.4548872180451,22.2112998742816,14,1192,"A","2E",2,1,4,4,0,NA,NA,NA,NA,NA,NA,1,"4",2,"IFN3","27_1192",27,NA,NA,0,1995,"22","5886","1985","K","0001","1998","018",1,"1","2",100,90,1,1,1,2,1,4,"06/27/98 00:00:00","12/30/99 20:00:00",1,2,1,1,5,6,NA,NA,"0","0","","0","",330,0,3.8,0,1,"1",1,"- PIE CON RUMBO 324G SE VA POR DISTANCIA. 
27,- PRESENTE DURANTE EL LEVANTAMIENTO ANTONIO COLLADO. 
27,- PIE 5 DIÁMETROS COMPROBADOS. 
27,- PIE Nº 23 ENTRA POR PENDIENTE.
27,- A MAS DE 25M HAY BARDAGUERA.",11,NA,"05/13/98 00:00:00","12/30/99 09:30:00","05/13/98 00:00:00","12/30/99 11:30:00",NA,"018","","","",NA,NA,NA,NA,NA,NA,"D",NA,"A2E",35,18,1,21,98-05-13,1998,9
"37551","27_1626",21,432970.590277778,1389.95316966922,21,NA,NA,432970.590277778,NA,NA,1389.95316966922,NA,NA,"27_1626_A_1",26471.180651521,15461.0185272493,43.2970590277778,1389.95316966922,0,159.154943091895,509.295817894065,254.647908947033,339.53054526271,127.323954473516,0,0,0,19.0446564885496,11.1234096692112,19.9151771563921,13.25,1626,"A","1",1,10,4,1,30,5,3,NA,NA,NA,NA,2,"2",1,"IFN3","27_1626",27,NA,NA,0,1984,"J","0011","","","","1998","035",1,"1","2",100,90,1,1,1,2,1,4,"06/30/98 00:00:00","12/30/99 20:21:00",1,2,1,1,7,6,NA,NA,"0","2","4","0","",177,0,6.5,0,1,"1",1,"PIES 26, 35, 36, 56 Y 57 ENTRAN POR PENDIENTE. EL TOCON DEL PIE 21 DEL IFN2 SE HA MEDIDO A 1,4M POR TRATARSE DE UN PIE BIFURCADO POR DEBAJO DE 1,30.",11,NA,"04/21/98 00:00:00","12/30/99 10:50:00","04/21/98 00:00:00","12/30/99 13:15:00",NA,"018","","","",NA,NA,NA,NA,NA,NA,"T",NA,"A1",30,35,1,21,98-04-21,1998,8
"37554","27_1630",21,192553.0625,1655.21140815571,21,NA,NA,192553.0625,NA,NA,1655.21140815571,NA,NA,"27_1630_A_4",19781.3678768917,8737.60637574505,19.25530625,1655.21140815571,0,1209.5775674984,413.802852038928,31.8309886183791,0,0,0,0,0,11.9509615384615,5.27884615384615,12.1703631985498,7.25,1630,"A","4",1,10,3,1,25,5,3,NA,NA,NA,NA,2,"2",1,"IFN3","27_1630",27,NA,NA,0,1984,"J","0008","","","","1998","018",1,"1","2",100,80,1,1,1,2,1,4,"07/04/98 00:00:00","12/30/99 20:43:00",1,2,1,1,7,6,NA,NA,"0","2","4","0","",14,0,1.5,0,1,"1",1,"PRESENTE EN EL LEVANTAMIENTO JOSE ANGEL GIL Y VICENTE SANDOVAL (ICONA). PARCELA A4 YA QUE LOS ARBOLES QUE HAN  ENTRADO PUDIERON SER LOS DEL IFN2 (FALTA DE REFERENCIAS).",11,NA,"04/20/98 00:00:00","12/30/99 10:25:00","04/20/98 00:00:00","12/30/99 11:50:00",NA,"018","","","",NA,NA,NA,NA,NA,NA,"T",NA,"A4",25,18,1,21,98-04-20,1998,8
"37580","27_1667",21,330210.590277778,1305.07053335354,21,NA,NA,330210.590277778,NA,NA,1305.07053335354,NA,NA,"27_1667_A_1",22714.0629615983,17936.7620864566,33.0210590277778,1305.07053335354,0,254.647908947033,381.971863420549,555.273912565057,84.8826363156775,28.2942121052258,0,0,0,17.4044715447154,13.7439024390244,17.9487234488064,16.0625,1667,"A","1",1,10,3,2,38,7,3,NA,NA,NA,NA,2,"2",1,"IFN3","27_1667",27,NA,NA,0,1984,"K","0008","","","","1998","018",1,"1","2",100,70,1,1,1,2,1,4,"06/29/98 00:00:00","12/30/99 20:36:00",1,2,1,1,11,5,NA,NA,"0","4","3","0","",60,0,5.2,0,2,"2",2,"REJON IFN2 ENCONTRADO. PARCELA LOCALIZADA SIN FOTOS DEL IFN3 Y SIN ESTADILLO DEL IFN2.
27,DATOS DE DISTRIBUCION ESPACIAL Y COMPOSICION ESPECIFICA DEL IFN2 NO REFLEJADA EN EL DOCUMENTO SUSTITUTO DEL ESTADILLO DEL IFN2. EL 273 Y 072 NO SON REPRESENTATIVOS COMO PARA DARLES OCUPACION. FUENTE DE INFORMACION DE LA EDAD DE LA MASA LA CALCULADA POR EL ANTERIOR CAPATAZ MAS EL TIEMPO TRANSCURRIDO. ARBOLES 2, 4, 5, 7, 11, 13, 30, 34, 35, 36, 37, 39, 41 (IFN3) CORTADAS. DISTANCIA AL ARBOL 26 (IFN3) CORRECTA. ARBOL 27 IFN3 ENTRA POR PENDIENTE. A 255G Y 10,9M HAY UN PINO QUE NO ENTRA POR DIAMETRO (21,4-21,5), COMPROBADO. ARBOL 33 IFN3 ENTRA JUSTO POR  DISTANCIA. EN LA PARCELA FUERA DE LOS 10M HAY 0130.
27,ALTURAS COMPROBADAS.",14,NA,"05/14/98 00:00:00","12/30/99 15:40:00","05/14/98 00:00:00","12/30/99 18:10:00",NA,"034","","","",NA,NA,NA,NA,NA,NA,"T",NA,"A1",38,18,1,21,98-05-14,1998,8
"37588","27_1679",21,202445.256944444,1319.21763940615,21,NA,NA,202445.256944444,NA,NA,1319.21763940615,NA,NA,"27_1679_A_1",17966.6478479928,11796.9180596226,20.2445256944444,1319.21763940615,0,541.126806512444,572.957795130823,190.985931710274,14.1471060526129,0,0,0,0,13.6191689008043,8.94235924932976,13.9781802867428,9.75806451612903,1679,"A","1",1,10,3,2,35,7,3,NA,NA,NA,NA,2,"1",1,"IFN3","27_1679",27,NA,NA,0,1984,"K","0008","","","","1998","018",1,"1","2",100,90,1,1,1,2,1,4,"06/22/98 00:00:00","12/30/99 16:40:00",1,2,1,1,5,3,NA,NA,"0","0","","0","",25,0,2,0,2,"2",2,"REJON IFN2 ENCONTRADO. DATOS DE DISTRIBUCION DE ESPECIES Y  DISTRIBUCION ESPECIFICA NO APARECEN EN EL DOCUMENTO SUSTITUTO DEL ESTADILLO DEL IFN2. FUENTE DE INFORMACION DE LA EDAD DE LA  MASA, LA CALCULADA POR EL ANTERIOR JEFE DE EQUIPO MAS EL TIEMPO TRANSCURRIDO HASTA AHORA. A 108G HAY UN PINO QUE NO ENTRA POR DISTANCIA (10,1M) , COMPROBADO. ARBOL 8 IFN3 ENTRA JUSTO POR DISTANCIA, COMPROBADO. A 272G Y 11,6M HAY UN PINO QUE NO ENTRA  POR DIAMETRO (21,5-21,2), COMPROBADO. FORMA PIE 21 COMPROBADA. 
27,A 339G HAY UN PINO QUE NO ENTRA POR DISTANCIA (5.1M LATERAL), COMPROBADO.
 IAMETRO Y FORMA DEL ARBOL 25 CORRECTOS. 
27,A 377G Y 7,1M HAY UN PINO QUE NO ENTRA POR DIAMETRO (11,3-12,0), COMPROBADO.",14,NA,"05/04/98 00:00:00","12/30/99 13:50:00","05/04/98 00:00:00","12/30/99 16:00:00",NA,"034","","","",NA,NA,NA,NA,NA,NA,"T",NA,"A1",35,18,1,21,98-05-04,1998,8
"38153","27_2175",21,158170.944444444,1255.5556621694,21,NA,NA,158170.944444444,NA,NA,1255.5556621694,NA,NA,"27_2175_A_1",15526.802570394,8115.13370943009,15.8170944444444,1255.5556621694,0,891.267681314614,254.647908947033,95.4929658551372,14.1471060526129,0,0,0,0,12.3664788732394,6.46338028169014,12.6648610030017,8.40322580645161,2175,"A","1",1,10,3,1,20,5,2,NA,NA,NA,NA,2,"1",1,"IFN3","27_2175",27,NA,NA,0,1985,"K","0011","1995","35","5148","1998","034",1,"1","2",100,70,1,1,2,2,1,4,"06/30/98 00:00:00","12/30/99 14:13:00",1,2,1,1,5,4,NA,NA,"0","4","","1","",55,0,1.8,0,1,"2",2,"REJON IFN2 ENCONTRADO.
DATOS DE DIST ESPA Y COMP ESPE NO  REFLEJADOS EN EL DOCUMENTO SUSTITUTO  DEL ESTADILLO DEL IFN2.
EDAD DE LA MASA COMPROBADA.
A 120 GRADOS Y 1,7 M HAY UN PINO QUE NO  ENTRA POR EL DIAM.  7,0-7,3. COMPROBADO.
DISTANCIA AL ARBOL 10 CORRECTA.
FCC DEL MATORRAL CORRECTA. EN LA  PARCELA HAY ARANDANO.
PARCELA LEVANTADA CON LLUVIA.",14,NA,"04/27/98 00:00:00","12/30/99 14:15:00","04/27/98 00:00:00","12/30/99 16:00:00",NA,"034","","","",NA,NA,NA,NA,NA,NA,"T",NA,"A1",20,34,1,21,98-04-27,1998,8
"38333","27_2357",21,302111.243055556,1294.46020381408,21,NA,NA,302111.243055556,NA,NA,1294.46020381408,NA,NA,"27_2357_A_1",21850.028459435,10493.6159145256,30.2111243055556,1294.46020381408,0,127.323954473516,636.619772367581,445.633840657307,84.8826363156775,0,0,0,0,16.8796448087432,8.10655737704918,17.2382887702572,9.59090909090909,2357,"A","1",1,10,3,1,30,5,3,NA,NA,NA,NA,3,"5",1,"IFN3","27_2357",27,NA,NA,0,1985,"J","0012","","","","1998","006",1,"1","2",100,80,1,1,2,2,1,4,"07/13/98 00:00:00","12/30/99 13:52:00",1,2,1,1,4,10,NA,NA,"0","0","","0","",15,0,4,0,1,"1",2,"LA PARCELA HA SIDO LEVANTADA CON UN  SOLO AYUDANTE.
LE HE DADO ORIGEN NATURALIZADO PORQUE  EN LOS CLAROS YA EMPIEZAN 
27, A SALIR PINOS  DE SEMILLA.",19,NA,"04/20/98 00:00:00","12/30/99 10:40:00","04/20/98 00:00:00","12/30/99 12:55:00",NA,"026","","","",NA,NA,NA,NA,NA,NA,"T",NA,"A1",30,6,1,21,98-04-20,1998,8
"38436","27_2432",21,755702.347222222,2931.98772940403,21,NA,NA,755702.347222222,NA,NA,2931.98772940403,NA,NA,"27_2432_A_2E",21067.3398170742,10624.4766455123,24.13245625,1510.20357111643,0,541.126806512444,859.436692696235,95.4929658551372,14.1471060526129,0,0,0,0,13.95,7.03512880562061,14.2638931411093,8.20967741935484,2432,"A","2E",1,10,3,1,20,5,4,NA,NA,NA,NA,2,"2",1,"IFN3","27_2432",27,NA,NA,0,1997,"39","3468","1985","J","0008","1998","012",1,"1","2",100,80,1,1,1,2,1,4,"07/15/98 00:00:00","12/30/99 11:58:00",1,2,1,1,7,5,NA,NA,"0","4","","5","",45,0,6,0,2,"2",2,"NO DOY OCUPACION A LA ESPECIE 028. PINO  RADIATA.
27,HAY UN ARBOL A 10.50 Y 59 GRADOS NO  ENTRA   20.0-19.5.
27,HAY UN ARBOL 11.5 GR Y 14.0 M NO ENTRA   22.4-21.9.
27,HAY UN ARBOL 7.7 M Y 203 GR NO ENTRA   12.3-12.3.
27,COMPROBADO DIAMETRO 1,30 ARBOL 16.
27,ENTRA POR PENDIENTE ARBOL 36 MUY JUSTO.
27,LAS PODAS HAN LLEGADO A PARTE DE LA  PARCELA.
27,LA PARCELA ES A2E DE GABINETE.",24,NA,"04/22/98 00:00:00","12/30/99 12:10:00","04/22/98 00:00:00","12/30/99 13:50:00",NA,"006","","","",NA,NA,NA,NA,NA,NA,"T",NA,"A2E",20,12,1,21,98-04-22,1998,8
