"","PLOT_ID","specie","G_sp","N_sp","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","IFN3_ID","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","Estadillo","Clase","Subclase","PosEsp.x","Ocupa","Estado_pcespparc","FPMasa","Edad","FInfor","Fiabil","Barrena1","Barrena2","Barrena3","AltPer","OrgMasa1","OrgMasa2","TratMasa","INVENTORY_ID","PLOT_ID.x","Provincia","CoorX","Coory","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","Ano","INE","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosid","Textura","MatOrg","PhSuelo","FechaPh","HoraPh","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","Equipo","JefeEq","FechaIni","HoraIni","FechaFin","HoraFin","Tiempo","Resid","RumboF1","RumboF2","DistFoto","CarFoto1","NumFoto1","ConFoto1","CarFoto2","NumFoto2","ConFoto2","Estado_pcparcelas","Tecnico","MASTER_CLASE","AGE","MUNICIPALITY","PosEsp.y","SPECIE_IFN_ID","Fecha_IFN3","Anyo_IFN3","EXEC_TIME"
"39723","28_10_IFN3",21,85471.7777777778,396.118969473162,21,NA,NA,85471.7777777778,NA,NA,396.118969473162,NA,NA,"28_10_A_1",6445.06783991913,3094.67944900908,8.54717777777778,396.118969473162,0,127.323954473516,127.323954473516,127.323954473516,14.1471060526129,0,0,0,0,16.2705357142857,7.8125,16.5750026933848,9.20967741935484,10,"A","1",1,10,3,2,30,7,3,NA,NA,NA,NA,2,"1",1,"IFN3","28_10",28,NA,NA,0,1985,"J","0013","1997","","2-2","2000","088",1,"1","2",95,40,1,1,2,2,2,4,"05/10/00 00:00:00","12/30/99 11:05:00",1,2,1,1,7,2,NA,NA,"0","3","","5","",15,0,10,0,2,"2",2,"EDAD POR COMPARACION CON IFN2.
PIE 5   ENTRA JUSTO CON PENDIENTE.PIE 7 ALTURA COMPROBADA. FORMAS CORRECTAS.
QUEDAN  RESTOS DE LAS CORTAS. A +25M. HAY  SAUCE.",1,1,"05/10/00 00:00:00","12/30/99 10:33:04","05/10/00 00:00:00","12/30/99 11:34:05",61,"027","090","330","14",NA,NA,NA,NA,NA,NA,"D",4,"A1",30,88,1,21,0-05-10,2000,9
"39803","28_105_IFN3",21,285202.972222222,1167.13624934057,21,NA,NA,285202.972222222,NA,NA,1167.13624934057,NA,NA,"28_105_A_1",20121.4289386314,10956.5799600974,28.5202972222222,1167.13624934057,0,31.8309886183791,763.943726841098,286.478897565412,42.4413181578388,42.4413181578388,0,0,0,17.24,9.38757575757576,17.6388921180304,11.2939393939394,105,"A","1",1,10,4,2,36,7,3,NA,NA,NA,NA,2,"2",1,"IFN3","28_105",28,NA,NA,0,1985,"M","0007","1997","","3-4","2000","097",1,"1","2",95,85,1,1,2,2,2,4,"04/24/00 00:00:00","12/30/99 15:55:00",1,2,1,1,8,3,NA,NA,"0","4","3","0","",290,0,5.5,0,2,"1",2,"ENCONTRADO EL REJON  GRACIAS A LAS   REFERENCIAS DEL IFN2.
PIE A 5 GRADOS Y  15.30 MT NO ENTRA POR  DIAMETRO.
PIE A  19 GRADOS  Y 12.30 MT CON  DIAMETROS  223-203 NO ENTRA .
PIE 25 ENTRA POR  POCO.
PIE A 278 GRADOS Y 10.40 MT NO  ENTRA  POR DIAMETRO.FORMAS CORRECTAS.",3,26,"04/24/00 00:00:00","12/30/99 14:35:57","04/24/00 00:00:00","12/30/99 16:41:01",125,"027","220","090","10",NA,NA,NA,NA,NA,NA,"D",4,"A1",36,97,1,21,0-04-24,2000,9
"39938","28_112_IFN3",21,187698.663611111,351.697056467957,21,NA,NA,187698.663611111,NA,NA,351.697056467957,NA,NA,"28_112_A_1",9063.18080088686,4211.87641398392,18.7698663611111,351.697056467957,0,0,0,63.6619772367581,198.059484736581,70.7355302630646,14.1471060526129,0,5.09295817894065,25.7698511665326,11.9758648431215,26.0676140799537,11.9864130434783,112,"A","1",1,10,4,2,35,7,4,NA,NA,NA,NA,2,"1",1,"IFN3","28_112",28,NA,NA,0,1983,"02","3184","1997","","1-1","2000","088",1,"1","2",80,60,1,1,3,2,2,4,"05/24/00 00:00:00","12/30/99 15:32:00",1,2,1,1,6,4,NA,NA,"0","4","3","5","",140,0,9,0,2,"2",2,"PARCELA PINCHADA EN UN CLARO ENTRE  REPOBLACIONES DE PINOS, DENTRO DEL    PINAR HAY MAYOR CABIDA CUBIERTA  .
EDAD POR COMPARACION CON        IFN2.

PIE 1, 23 MEDIDO A 1'40M.

PIE   4 COMPROBADO DIAMETRO, EN IFN2      TENDRIA  346-332MM. PIE 9, 14, 16, 19 COMPROBADO      RUMBO.
PIE  15, 22 MEDIDO A 1'20M. UN      PINO A 138G.  NO  ENTRA POR POCA      PENDIENTE.
A +25M. HAY   REBOLLO.
LIMPIAS.",1,1,"05/24/00 00:00:00","12/30/99 14:15:29","05/24/00 00:00:00","12/30/99 15:51:15",96,"027","245","060","15",NA,NA,NA,NA,NA,NA,"D",4,"A1",35,88,1,21,0-05-24,2000,9
"39953","28_113_IFN3",21,456505.8125,923.098669932993,21,NA,NA,456505.8125,NA,NA,923.098669932993,NA,NA,"28_113_A_1",22765.346221039,12787.2154833055,45.65058125,923.098669932993,0,0,31.8309886183791,254.647908947033,367.824757367936,240.50080289442,28.2942121052258,0,0,24.661877394636,13.8524904214559,25.0930904763676,14.9375,113,"A","1",1,10,4,2,35,7,4,NA,NA,NA,NA,2,"1",1,"IFN3","28_113",28,NA,NA,0,1983,"02","3184","1997","","1-3","2000","088",1,"1","2",100,90,1,1,2,2,2,4,"05/24/00 00:00:00","12/30/99 12:05:00",1,2,1,1,8,3,NA,NA,"0","3","4","5","",95,0,10,0,2,"1",2,"EDAD POR COMPARACION CON  IFN2.
COMPROBADAS ALTURAS PIES  4,  5     (COPA  PARTIDA).  COMPROBADO DIAMETRO     PIE 5. PIE  9, 13, 14, 15, 20, 40, 49     MEDIDO   A 1'40M.
COMPROBADO  RUMBO  PIE     6. PIE 28, 36, 43 MEDIDO  A      1'20M.
PIES 41  Y   42  MEDIDOS A      1'70M,  YO LOS CONSIDERO  UN  PIE      BIFURCADO POR  ARRIBA A  1'40M,  Y LO       MEDIRIA A 0'50M. DANDO        332-318MM.
PIES 45, 46   MEDIDOS A        1'50M. A +25M. HAY  MAJUELO.",1,1,"05/24/00 00:00:00","12/30/99 09:55:57","05/24/00 00:00:00","12/30/99 12:16:36",141,"027","195","005","18",NA,NA,NA,NA,NA,NA,"D",4,"A1",35,88,1,21,0-05-24,2000,9
"39975","28_115_IFN3",21,168789.409722222,679.06109052542,21,NA,NA,168789.409722222,NA,NA,679.06109052542,NA,NA,"28_115_A_4",11905.3202597507,4887.82514117776,16.8789409722222,679.06109052542,0,0,413.802852038928,222.816920328653,28.2942121052258,14.1471060526129,0,0,0,17.53203125,7.19791666666667,17.789888791928,8.41666666666667,115,"A","4",1,10,3,2,20,5,3,NA,NA,NA,NA,2,"1",1,"IFN3","28_115",28,NA,NA,0,1997,"","1-3","1983","02","3184","2000","088",1,"1","2",100,80,1,1,1,2,2,4,"05/23/00 00:00:00","12/30/99 16:15:00",1,2,1,1,2,3,NA,NA,"0","4","1","5","",300,0,4.8,0,2,"2",2,"REJON NO ENCONTRADO PUES EL UNICO PIE      QUE ENTRO EN IFN2. HA SIDO       SUPRIMIDO    AL    REALIZARSE UN       CORTAFUEGOS (FALTA EL 60% DE LA    PARCELA). 

PIE  1, 13 MEDIDO A       1'40M, 3 A 1'35M, 12 A   1'20M, 16 A       1'05M, 20 A 1'25M. UN PINO A 310G. NO     ENTRA POR  POCA PENDIENTE.

A +10M.  HAY BREZO.
",1,1,"05/23/00 00:00:00","12/30/99 15:26:48","05/23/00 00:00:00","12/30/99 16:30:32",64,"027","385","190","13",NA,NA,NA,NA,NA,NA,"D",4,"A4",20,88,1,21,0-05-23,2000,9
"40018","28_118_IFN3",21,315073.826388889,870.047022235694,21,NA,NA,315073.826388889,NA,NA,870.047022235694,NA,NA,"28_118_A_1",18460.0281715776,13080.7679338972,31.5073826388889,870.047022235694,0,0,63.6619772367581,509.295817894065,268.795014999645,14.1471060526129,14.1471060526129,0,0,21.2172764227642,15.0345528455285,21.472858411818,15.1875,118,"A","1",1,10,4,2,45,7,3,NA,NA,NA,NA,2,"2",1,"IFN3","28_118",28,NA,NA,0,1983,"03","3228","1997","","3-1","2000","069",1,"1","2",95,85,1,1,2,2,2,4,"04/13/00 00:00:00","12/30/99 12:21:00",1,2,1,1,5,2,NA,NA,"0","3","","0","",235,0,9,0,2,"1",2,"EDAD COMPARADA CON IFN2.
COMPROBADA      DISTANCIA PIE 9.
PIE 39 ENTRA JUSTO CON     PENDIENTE, NO MEDIDO EN IFN2 POR  ESTE    MOTIVO. PIES CON MENOR ALTURA QUE EN IFN2 COMPROBADO. A +10M. HAY CYTISUS.",1,1,"04/13/00 00:00:00","12/30/99 10:32:23","04/13/00 00:00:00","12/30/99 12:30:54",119,"027","120","320","15",NA,NA,NA,NA,NA,NA,"D",4,"A1",45,69,1,21,0-04-13,2000,9
"40071","28_122_IFN3",21,23075,42.4413181578388,21,NA,NA,23075,NA,NA,42.4413181578388,NA,NA,"28_122_A_1",1116.20666755116,282.942121052258,2.3075,42.4413181578388,0,0,0,0,42.4413181578388,0,0,0,0,26.3,6.66666666666667,26.3106442338457,6.66666666666667,122,"A","1",1,8,3,2,50,7,3,NA,NA,NA,NA,2,"2",1,"IFN3","28_122",28,NA,NA,0,1983,"03","3228","1997","","3-1","2000","069",1,"1","2",60,25,1,2,4,2,2,4,"04/13/00 00:00:00","12/30/99 13:55:00",1,2,1,1,6,0,NA,NA,"0","4","3","0","",360,0,9.5,0,2,"2",2,"EDAD POR COMPARACION DEL IFN2. PIE 1 ALTURA Y FORMA COMPROBADA. 

PIE 2,     3 MEDIDO A 1'40M.

POR ALREDEDORES  HAY     MAYOR CABIDA  CUBIERTA.",1,1,"04/13/00 00:00:00","12/30/99 13:35:38","04/13/00 00:00:00","12/30/99 14:06:57",31,"027","040","235","09",NA,NA,NA,NA,NA,NA,"D",4,"A1",50,69,1,21,0-04-13,2000,9
"40144","28_129_IFN3",21,293287.104166667,898.34123434092,21,NA,NA,293287.104166667,NA,NA,898.34123434092,NA,NA,"28_129_A_1",18191.9405118806,11970.2201087671,29.3287104166667,898.34123434092,0,0,127.323954473516,572.957795130823,198.059484736581,0,0,0,0,20.2505905511811,13.3248031496063,20.3882934509615,13.875,129,"A","1",1,10,4,2,35,7,3,NA,NA,NA,NA,2,"2",1,"IFN3","28_129",28,NA,NA,0,1983,"03","3227","1997","","3-1","2000","069",1,"1","2",95,85,1,1,3,3,2,4,"04/14/00 00:00:00","12/30/99 12:16:00",1,2,1,1,5,1,NA,NA,"0","3","1","5","",195,0,9,0,2,"1",2,"EDAD COMPARADA CON IFN2.
PIE 8, 34, 35    MEDIDO A  1'35M, 10 A 1'40M.

A +10M.  HAY ZARZA.",1,1,"04/14/00 00:00:00","12/30/99 10:46:32","04/14/00 00:00:00","12/30/99 12:40:46",114,"027","130","325","06",NA,NA,NA,NA,NA,NA,"D",4,"A1",35,69,1,21,0-04-14,2000,9
"40156","28_130_IFN3",21,300810.138888889,1602.15976045841,21,NA,NA,300810.138888889,NA,NA,1602.15976045841,NA,NA,"28_130_A_1",24096.058384113,13819.9542251462,30.0810138888889,1602.15976045841,0,636.619772367581,541.126806512444,396.118969473162,28.2942121052258,0,0,0,0,15.0397350993377,8.62582781456954,15.4613846408088,9.95,130,"A","1",1,10,3,2,30,7,3,NA,NA,NA,NA,2,"2",1,"IFN3","28_130",28,NA,NA,0,1986,"03","3227","1997","","3-1","2000","069",1,"1","2",90,70,1,1,2,2,2,4,"04/19/00 00:00:00","12/30/99 12:31:00",1,2,1,1,7,2,NA,NA,"0","0","","5","",175,0,11,0,2,"3",3,"EDAD POR COMPARACION CON IFN2.
PIE 2          MEDIDO A 1'40M, COMPROBADO DIAMETRO.
UN PINO A 150G. NO ENTRA POR         POCO  DIAMETRO.PIE 11 MEDIDO A       1'40M.

PIE 24 COMPROBADA FORMA Y    ALTURA, ESTA DESCOPADO.   PIE 34 MEDIDO    A   1'40M. UN PINO A 377G. NO ENTRA   POR   POCA PENDIENTE.COMPROBADAS FORMAS. 
PARCELA LEVANTADA CON LLUVIA.",1,1,"04/19/00 00:00:00","12/30/99 10:53:36","04/19/00 00:00:00","12/30/99 13:07:55",134,"027","060","300","04",NA,NA,NA,NA,NA,NA,"D",4,"A1",30,69,1,21,0-04-19,2000,9
"40196","28_134_IFN3",21,258174.0625,1687.04239677409,21,NA,NA,258174.0625,NA,NA,1687.04239677409,NA,NA,"28_134_A_1",22903.9878603547,8737.60637574505,25.81740625,1687.04239677409,0,795.774715459477,604.788783749202,286.478897565412,0,0,0,0,0,13.5764150943396,5.17924528301887,13.9588090128278,6.875,134,"A","1",1,10,3,2,40,7,3,NA,NA,NA,NA,2,"2",1,"IFN3","28_134",28,NA,NA,0,1983,"03","3228","1997","","3-1","2000","118",1,"1","2",80,70,1,1,1,3,1,4,"06/02/00 00:00:00","12/30/99 15:29:00",1,2,1,1,6,10,NA,NA,"0","0","","0","",180,0,7.5,0,2,"2",2,"NO DOY OCUPACION A RESTANTES        ESPECIES.
LA EDAD SE HA CALCULADO        SUMANDO 10 AÑOS  A LA EDAD DEL IFN2.
EN     TODA LA ZONA SE NOTAN LOS EFECTOS    DEL   VIENTO. FORMAS CORRECTAS. 
EN LA PARCELA PASTA   GANADO.
H IGUALES O INFERIORES A LAS  DEL IFN2  COMPROBADAS.",15,17,"06/02/00 00:00:00","12/30/99 14:11:36","06/02/00 00:00:00","12/30/99 15:40:35",89,"027","245","375","10",NA,NA,NA,NA,NA,NA,"D",4,"A1",40,118,1,21,0-06-02,2000,9
