"","INVENTORY_ID","PLOT_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","BASAL_AREA","DENSITY","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","ALTITUDE","SLOPE","ASPECT"
"13396","IFN2","25_1150_IFN2",15,51,21,7.25639027777778,548.200359538751,11.3567741935484,4.76451612903226,12.9821229438421,8.86206896551724,1200,4,0.753982236861552
"13556","IFN2","25_647_IFN2",22,201,21,10.899275,477.464829275686,16.94,7.16666666666667,17.0483821324293,7.625,1600,4.5,3.48716784548468
"13584","IFN2","25_986_IFN2",20,140,21,29.0508131944444,841.752810130469,19.2443277310924,12.8151260504202,20.9624441591636,15.6875,1200,4.5,6.23606141737575
"29546","IFN3","25_1277_A_4_IFN3",25,234,21,7.79863125,891.267681314614,10.2910714285714,3.94642857142857,10.5550470324458,6.125,1000,10,0.94247779607694
"29960","IFN3","25_1456_A_4_IFN3",30,61,21,33.0539938611111,1373.82546876924,16.0856914838843,10.9356194006796,17.502546845287,15.3,1000,12.8,6.12610567450011
"30779","IFN3","25_1825_A_1_IFN3",45,2,21,25.150475,1315.680862893,15.264247311828,7.22849462365591,15.6010157857874,7.28333333333333,1000,11,3.33008821280519
"34035","IFN3","25_647_A_1_IFN3",33,201,21,29.0738631944444,576.494571643976,25.1457055214724,11.0736196319018,25.3401288848703,11.375,1000,12.5,3.26725635973339
"34777","IFN3","25_975_A_1_IFN3",40,140,21,33.9983715277778,1135.30526072219,18.3746105919003,9.71339563862928,19.5266522469951,11.5,1000,4.8,0.392699081698725
"34780","IFN3","25_977_A_1_IFN3",30,140,21,12.8711465277778,473.928052762533,18.3466417910448,8.2089552238806,18.5954832222413,8.8,1000,4.2,4.39822971502572
"34792","IFN3","25_982_A_1_IFN3",35,140,21,34.3095923611111,1503.13001809012,16.2537647058824,12.5934117647059,17.0476517271959,13.2,1000,5.2,4.7123889803847
