"","INVENTORY_ID","PLOT_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","BASAL_AREA","DENSITY","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","ALTITUDE","SLOPE","ASPECT"
"4966","IFN2","17_526_IFN2",14,39,21,3.911,445.633840657307,10.4214285714286,5.17857142857143,10.5708494049843,5.08333333333333,1100,4.5,2.90597320457057
"13404","IFN2","25_1160_IFN2",17,234,21,6.698125,636.619772367581,11.45,5.475,11.5742170361541,5.875,900,5,0.31415926535898
"13418","IFN2","25_1177_IFN2",15,234,21,4.94155625,668.45076098596,9.50714285714286,4.64285714285714,9.70179782063,5.1,900,4.5,5.24645973149497
"13437","IFN2","25_1190_IFN2",25,202,21,37.6220361111111,1542.03455973481,17.0821100917431,9.73509174311926,17.6250011386557,10.75,1400,4.5,0.125663706143592
"13454","IFN2","25_1277_IFN2",15,234,21,4.40875625,668.45076098596,9.08333333333333,4.83333333333333,9.16385887734035,4.7,1200,5,4.7752208334565
"13501","IFN2","25_1610_IFN2",35,5,21,19.3783076388889,820.532151051549,16.8265086206897,8.49784482758621,17.3406423512848,10.3382352941176,1100,5,4.28827397215008
"13503","IFN2","25_1655_IFN2",43,241,21,35.4877701388889,1071.64328348543,19.4447194719472,10.6534653465347,20.5337983076024,12.375,1400,3,1.41371669411541
"13574","IFN2","25_965_IFN2",15,140,21,10.76725625,1114.08460164327,10.9785714285714,5.15714285714286,11.0929868449781,5.21428571428571,1100,4,5.62345084992574
"13576","IFN2","25_975_IFN2",29,140,21,18.4780090277778,993.834200196058,14.8574733096085,7.90213523131673,15.3859982217969,8.44827586206896,1400,3.5,3.50287580875263
"13580","IFN2","25_976_IFN2",27,140,21,28.10956875,2228.16920328653,12.3764285714286,6.96714285714286,12.6738355339991,7.75,1300,3,4.19402619254238
"13581","IFN2","25_977_IFN2",22,140,21,4.25241875,286.478897565412,13.6055555555556,5,13.7475957493988,5.375,1100,4,4.25685804561418
"13583","IFN2","25_982_IFN2",25,140,21,36.6757375,2528.79520690456,13.1727272727273,8.85874125874126,13.5890049651936,9.51612903225806,1400,4.5,4.66526509058085
"26301","IFN2","8_1264_IFN2",10,138,21,11.92176875,1177.74657888003,11.1391891891892,4.94594594594595,11.3527083326617,6,900,4,5.96902604182062
"26338","IFN2","8_2029_IFN2",16,138,21,4.78825,763.943726841098,8.9,3.91666666666667,8.93331778605612,4,900,5,5.26216769476292
"34754","IFN3","25_965_A_1_IFN3",20,140,21,19.3917708333333,703.818526117493,18.3683417085427,7.90954773869347,18.7298132538104,8.60810810810811,1000,5.2,5.65486677646164
"34779","IFN3","25_976_A_1_IFN3",38,140,21,39.3454729166667,2079.6245897341,14.8912414965986,10.3998299319728,15.520652386746,11.7166666666667,1000,3.8,4.24115008234623
"68509","IFN3","8_2029_A_4_IFN3",25,138,21,6.28485,413.802852038928,13.8230769230769,7.20769230769231,13.9061137633776,7.3,1000,11.5,5.34070751110266
