"","INVENTORY_ID","PLOT_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","BASAL_AREA","DENSITY","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H"
"28","IFN2","1_1003_IFN2",31,21,21,36.1251486111111,884.194128288307,22.358,10.914,22.8079402840327,12.5
"30","IFN2","1_1013_IFN2",27,59,21,11.7778131944444,809.92182151209,13.0740174672489,5.68340611353712,13.6071082598951,6.56451612903226
"46","IFN2","1_1027_IFN2",57,59,21,30.3499378888889,482.133374273048,27.3799295774648,16.3902582159624,28.310684177798,19.7853107344633
"130","IFN2","1_113_IFN2",39,10,21,28.2775430277778,507.315223046699,24.7229921918572,14.968349135527,26.6401673110625,20.6711956521739
"146","IFN2","1_1164_IFN2",20,37,21,25.037025,1846.19733986599,12.9275862068966,5.75862068965517,13.1403629299588,6.875
"173","IFN2","1_126_IFN2",34,10,21,33.6349453888889,1229.94940021417,16.3633540372671,9.33270071313549,18.659792079889,16.1639784946237
"222","IFN2","1_1345_IFN2",36,44,21,26.5628152777778,560.366870743998,23.5729613733906,11.319363797021,24.5672126242934,13.0923913043478
"252","IFN2","1_147_IFN2",78,10,21,21.1305558055556,244.744934710203,31.2392774566474,14.1393063583815,33.1553535594658,16.9692307692308
"265","IFN2","1_153_IFN2",34,10,21,26.1640722222222,311.236333157484,32.5818181818182,14.2954545454545,32.7161796224881,14.8125
"266","IFN2","1_154_IFN2",38,10,21,36.4716548611111,862.973469209388,21.8071721311475,11.7868852459016,23.1971201487754,14.625
"353","IFN2","1_219_IFN2",33,3,21,24.9337055555556,427.949958091541,26.9586776859504,13.1363636363636,27.2365426623562,14.9375
"395","IFN2","1_251_IFN2",24,18,21,21.7547951388889,880.657351775154,16.0230923694779,8.21887550200803,17.7349135502415,12.875
"426","IFN2","1_283_IFN2",39,63,21,26.1780729166667,528.535882125619,24.0835786937902,12.3567987152034,25.1123096286976,15
"445","IFN2","1_288_IFN2",28,18,21,41.26404375,979.687094143445,22.3687725631769,14.0270758122744,23.1577978461475,14.8125
"520","IFN2","1_568_IFN2",16,49,21,2.5571,381.971863420549,9.1,3.33333333333333,9.23237058759378,4
"576","IFN2","1_610_IFN2",10,18,21,3.4056015,227.909878507594,12.9,6.22905027932961,13.7933704017222,7.15189873417722
"630","IFN2","1_636_IFN2",27,63,21,20.4668701388889,714.428855656952,17.6190594059406,13.8242574257426,19.0985889919949,15.9375
"711","IFN2","1_755_IFN2",32,53,21,38.6091854166667,1372.26928710345,18.4225515463918,9.95103092783505,18.9269531465678,12.0625
"712","IFN2","1_762_IFN2",52,53,21,42.1620733611111,1257.11184383518,19.3489702903444,12.2536011703804,20.6646988233297,16.7771739130435
"732","IFN2","1_773_IFN2",23,61,21,28.5177909722222,940.782552498759,18.8990601503759,8.57518796992481,19.6457391255578,10.0625
"773","IFN2","1_876_IFN2",16,46,21,3.2778625,254.647908947033,11.975,5.25,12.8020750271196,5.5
"823","IFN2","1_914_IFN2",46,46,21,17.5575712222222,263.277643639126,28.2213326168726,14.2074153680817,29.1393786936199,15.9510869565217
"26404","IFN2","9_1021_IFN2",17,109,21,11.30504375,1273.23954473516,10.48625,4.5,10.6325179285059,5
"26409","IFN2","9_1043_IFN2",24,427,21,6.534175,268.795014999645,17.3565789473684,4.90131578947368,17.5929972611712,5.33870967741935
"26414","IFN2","9_1046_IFN2",35,905,21,36.8700958333333,1099.93749559065,20.2360128617363,12.443729903537,20.6589473620832,13.5
"26415","IFN2","9_1095_IFN2",19,172,21,17.05528125,1336.90152197192,12.5607142857143,6.53571428571429,12.7448519018465,7.25
"26422","IFN2","9_1133_IFN2",31,251,21,48.019325,2942.59805894349,14.0044471153846,10.4639423076923,14.4144346223072,11.4193548387097
"26426","IFN2","9_1154_IFN2",18,109,21,10.3951375,1305.07053335354,9.87073170731707,5.24390243902439,10.0705499159557,6.5
"26439","IFN2","9_1204_IFN2",15,411,21,16.5052,1559.71844230057,11.3816326530612,4.72448979591837,11.6075977932823,5.125
"26445","IFN2","9_1213_IFN2",15,431,21,20.3371125,2037.18327157626,11.0859375,5.1171875,11.2741719485291,6.5
"26457","IFN2","9_1226_IFN2",15,44,21,14.5917,1814.36635124761,9.95087719298246,6.37719298245614,10.1191844897127,7.25
"26461","IFN2","9_1227_IFN2",15,44,21,11.98469375,1145.91559026165,11.3652777777778,6.08333333333333,11.5396388110239,7.25
"26465","IFN2","9_1231_IFN2",20,142,21,25.14180625,2832.95798703574,10.3859550561798,6.3876404494382,10.6299991543966,7.75
"26469","IFN2","9_1232_IFN2",15,44,21,12.041625,1177.74657888003,11.2513513513514,5.13513513513514,11.4096331987374,5.875
"26473","IFN2","9_1234_IFN2",20,44,21,19.07700625,1432.39448782706,12.6122222222222,7.27777777777778,13.0220347445739,8.75
"26481","IFN2","9_1237_IFN2",25,431,21,26.5044875,1266.16599170886,15.7058659217877,8.22346368715084,16.325610941882,9.8235294117647
"26487","IFN2","9_1243_IFN2",20,44,21,30.0538,1814.36635124761,14.1122807017544,8.01754385964912,14.5225293819335,9.625
"26491","IFN2","9_1244_IFN2",20,44,21,26.3073375,2291.83118052329,11.8236111111111,7.54861111111111,12.0893289722796,9
"26493","IFN2","9_1245_IFN2",25,431,21,40.0544229166667,3034.55424828547,12.5354895104895,8.02972027972028,12.96381563176,10.2
"26499","IFN2","9_1251_IFN2",15,5,21,18.40084375,2037.18327157626,10.46328125,6.1015625,10.7240511672362,9.125
"26507","IFN2","9_1253_IFN2",20,5,21,31.7023951388889,1630.45397256364,15.1124728850325,8.75921908893709,15.7342782117893,11.6896551724138
"26511","IFN2","9_1254_IFN2",29,431,21,36.3827513888889,1846.19733986599,15.1051724137931,10.1139846743295,15.8403133434892,12.6875
"26513","IFN2","9_1255_IFN2",20,431,21,12.2467965277778,905.414787367227,12.6326171875,5.935546875,13.1232837419556,6.62903225806452
"26519","IFN2","9_1257_IFN2",15,303,21,28.0305125,1941.69030572112,13.2983606557377,8.6655737704918,13.5575307244447,10
