"","Provincia","Estadillo","TREE_ID_IFN2","rumbo","distancia","specie","dbh_1","dbh_2","height","quality","shape","special_param","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","dbh","expan","basal_area"
"476338",25,647,1,49," 5.2",21,168,173,7,2,2,"","IFN2","25_647","25_647_1","IFN2_25_647_1",17.05,31.8309886183791,228.317209595047
"476339",25,647,2,76," 3.4",21,169,170,6.5,2,2,"","IFN2","25_647","25_647_2","IFN2_25_647_2",16.95,31.8309886183791,225.646855839495
"476340",25,647,3,112," 5.6",21,194,184,7,2,2,"","IFN2","25_647","25_647_3","IFN2_25_647_3",18.9,31.8309886183791,280.552077947202
"476341",25,647,4,167," 4.1",21,218,205,8.5,2,2,"","IFN2","25_647","25_647_4","IFN2_25_647_4",21.15,31.8309886183791,351.326269946355
"476342",25,647,5,221," 4.0",21,165,170,7,2,2,"","IFN2","25_647","25_647_5","IFN2_25_647_5",16.75,31.8309886183791,220.353272218197
"476343",25,647,6,255," 9.4",21,151,157,6.5,2,2,"","IFN2","25_647","25_647_6","IFN2_25_647_6",15.4,31.8309886183791,186.265028431339
"476344",25,647,7,276," 8.1",21,190,190,7.5,2,2,"","IFN2","25_647","25_647_7","IFN2_25_647_7",19,31.8309886183791,283.528736986479
"476345",25,647,8,309," 8.8",21,168,159,7.5,2,2,"","IFN2","25_647","25_647_8","IFN2_25_647_8",16.35,31.8309886183791,209.954600534814
"476346",25,647,9,312," 6.0",21,146,154,8,2,2,"","IFN2","25_647","25_647_9","IFN2_25_647_9",15,31.8309886183791,176.714586764426
"476347",25,647,10,312," 7.5",21,158,157,7.5,2,2,"","IFN2","25_647","25_647_10","IFN2_25_647_10",15.75,31.8309886183791,194.82783190778
"476348",25,647,11,316," 3.9",21,198,192,7.5,2,2,"","IFN2","25_647","25_647_11","IFN2_25_647_11",19.5,31.8309886183791,298.64765163188
"476349",25,647,12,332," 7.5",21,144,146,6.5,2,3,"","IFN2","25_647","25_647_12","IFN2_25_647_12",14.5,31.8309886183791,165.129963854314
