"","Provincia","Estadillo","TREE_ID_IFN2","rumbo","distancia","specie","dbh_1","dbh_2","height","quality","shape","special_param","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","dbh","expan","basal_area"
"94294",8,1264,1,45," 1.7",21,114,114,5.5,2,3,"","IFN2","8_1264","8_1264_1","IFN2_8_1264_1",11.4,127.323954473516,102.070345315132
"94295",8,1264,2,61," 3.6",21,133,139,5.5,2,3,"","IFN2","8_1264","8_1264_2","IFN2_8_1264_2",13.6,31.8309886183791,145.267244301992
"94296",8,1264,3,70," 9.7",21,183,178,7,2,2,"","IFN2","8_1264","8_1264_3","IFN2_8_1264_3",18.05,31.8309886183791,255.884685130297
"94297",8,1264,4,71," 2.2",21,114,117,5.5,2,3,"","IFN2","8_1264","8_1264_4","IFN2_8_1264_4",11.55,127.323954473516,104.774078492628
"94298",8,1264,5,78," 5.0",21,101,103,4.5,2,3,"","IFN2","8_1264","8_1264_5","IFN2_8_1264_5",10.2,127.323954473516,81.7128249198705
"94299",8,1264,6,124," 9.2",21,144,148,6,2,2,"","IFN2","8_1264","8_1264_6","IFN2_8_1264_6",14.6,31.8309886183791,167.4154725098
"94300",8,1264,7,146," 2.5",21,82,82,4,2,3,"","IFN2","8_1264","8_1264_7","IFN2_8_1264_7",8.2,127.323954473516,52.8101725068444
"94301",8,1264,8,288," 2.1",21,91,88,4.5,2,3,"","IFN2","8_1264","8_1264_8","IFN2_8_1264_8",8.95,127.323954473516,62.9123563835441
"94302",8,1264,9,292," 7.7",21,136,134,5,2,3,"","IFN2","8_1264","8_1264_9","IFN2_8_1264_9",13.5,31.8309886183791,143.138815279185
"94303",8,1264,10,315," 6.2",21,139,132,4.5,2,3,"","IFN2","8_1264","8_1264_10","IFN2_8_1264_10",13.55,31.8309886183791,144.20106629518
"94304",8,1264,11,321," 8.9",21,129,131,6,2,3,"","IFN2","8_1264","8_1264_11","IFN2_8_1264_11",13,31.8309886183791,132.732289614169
"94305",8,1264,12,329," 2.0",21,96,92,4,2,3,"","IFN2","8_1264","8_1264_12","IFN2_8_1264_12",9.4,127.323954473516,69.3977817177985
"94306",8,1264,13,329," 9.0",21,142,144,6,2,2,"","IFN2","8_1264","8_1264_13","IFN2_8_1264_13",14.3,31.8309886183791,160.606070433144
"94307",8,1264,14,337," 8.2",21,135,133,6,2,3,"","IFN2","8_1264","8_1264_14","IFN2_8_1264_14",13.4,31.8309886183791,141.026094219646
"94308",8,1264,15,345," 4.9",21,145,146,5,2,3,"","IFN2","8_1264","8_1264_15","IFN2_8_1264_15",14.55,31.8309886183791,166.270754686648
