"","Provincia","Estadillo","TREE_ID_IFN2","rumbo","distancia","specie","dbh_1","dbh_2","height","quality","shape","special_param","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","dbh","expan","basal_area"
"536481",27,179,1,23," 2.7",21,91,93,4,2,3,"","IFN2","27_179","27_179_1","IFN2_27_179_1",9.2,127.323954473516,66.47610054996
"536482",27,179,2,128," 3.8",21,119,115,3.5,3,5,"","IFN2","27_179","27_179_2","IFN2_27_179_2",11.7,127.323954473516,107.513154587477
"536483",27,179,3,256," 2.6",21,90,82,3.5,2,3,"","IFN2","27_179","27_179_3","IFN2_27_179_3",8.6,127.323954473516,58.0880481648753
"541787",27,546,1,340," 8.0",21,127,135,3.5,3,3,"","IFN2","27_546","27_546_1","IFN2_27_546_1",13.1,31.8309886183791,134.782178820636
"541788",27,546,2,349," 3.6",21,74,80,2.5,3,3,"","IFN2","27_546","27_546_2","IFN2_27_546_2",7.7,127.323954473516,46.5662571078347
"541789",27,546,3,355," 9.5",21,135,137,3,3,5,"","IFN2","27_546","27_546_3","IFN2_27_546_3",13.6,31.8309886183791,145.267244301992
"541837",27,560,1,96," 6.6",21,122,133,4.5,2,3,"","IFN2","27_560","27_560_1","IFN2_27_560_1",12.75,31.8309886183791,127.676288937298
"541838",27,560,2,192," 4.8",21,91,94,3,2,3,"","IFN2","27_560","27_560_2","IFN2_27_560_2",9.25,127.323954473516,67.2006303556942
"541839",27,560,3,285," 1.7",21,86,80,3,2,3,"","IFN2","27_560","27_560_3","IFN2_27_560_3",8.3,127.323954473516,54.1060794764502
"541840",27,560,4,359," 4.2",21,82,84,4.5,2,3,"","IFN2","27_560","27_560_4","IFN2_27_560_4",8.3,127.323954473516,54.1060794764502
"543266",27,668,1,14," 8.3",21,145,148,6,2,3,"","IFN2","27_668","27_668_1","IFN2_27_668_1",14.65,31.8309886183791,168.564117323769
"543267",27,668,2,78," 3.0",21,86,82,3.5,2,3,"","IFN2","27_668","27_668_2","IFN2_27_668_2",8.4,127.323954473516,55.4176944093239
"543268",27,668,3,120," 4.3",21,124,131,5,2,3,"","IFN2","27_668","27_668_3","IFN2_27_668_3",12.75,31.8309886183791,127.676288937298
"543269",27,668,4,157," 4.7",21,80,84,4,3,3,"","IFN2","27_668","27_668_4","IFN2_27_668_4",8.2,127.323954473516,52.8101725068444
"543270",27,668,5,186," 2.6",21,114,120,4,2,5,"","IFN2","27_668","27_668_5","IFN2_27_668_5",11.7,127.323954473516,107.513154587477
"543271",27,668,6,256," 1.7",21,184,171,6.5,2,2,"","IFN2","27_668","27_668_6","IFN2_27_668_6",17.75,31.8309886183791,247.449508855409
"543272",27,668,7,324," 9.5",21,198,191,6.5,2,2,"","IFN2","27_668","27_668_7","IFN2_27_668_7",19.45,31.8309886183791,297.118088708663
"543559",27,681,1,21," 5.7",21,149,152,6.5,2,2,"","IFN2","27_681","27_681_1","IFN2_27_681_1",15.05,31.8309886183791,177.894647504931
"543560",27,681,2,28," 8.5",21,227,233,8,2,2,"","IFN2","27_681","27_681_2","IFN2_27_681_2",23,14.1471060526129,415.47562843725
"543561",27,681,3,36," 3.6",21,159,163,6.5,2,3,"","IFN2","27_681","27_681_3","IFN2_27_681_3",16.1,31.8309886183791,203.583057934253
"543562",27,681,4,50," 7.9",21,136,138,6,2,3,"","IFN2","27_681","27_681_4","IFN2_27_681_4",13.7,31.8309886183791,147.411381288067
"543563",27,681,5,52," 5.0",21,205,207,8,2,2,"","IFN2","27_681","27_681_5","IFN2_27_681_5",20.6,31.8309886183791,333.291564619341
