,Provincia,Estadillo,Clase,Subclase,TREE_ID_IFN3_2,TREE_ID_IFN3,TREE_ID_IFN2,rumbo,distancia,DRed,specie,dbh_1,dbh_2,height,quality,shape,special_param,Agente,Import,Elemento,Compara,INVENTORY_ID,PLOT_ID,TREE_ID,IFN_TREE_ID,IFN3_ID,dbh,expan,basal_area
161575,8,2029,A,4,1,1,0,9,6.3,NA,21,126,141,7.3,2,2,NA,100,NA,,E,IFN3,8_2029,IFN3_8_2029_A_4_1,IFN3_8_2029_0,8_2029_A_4,13.35,31.8309886183791,139.975624176102
161576,8,2029,A,4,2,2,0,46,4.6,NA,21,136,139,7.1,2,2,NA,100,NA,,E,IFN3,8_2029,IFN3_8_2029_A_4_2,IFN3_8_2029_0,8_2029_A_4,13.75,31.8309886183791,148.48934026733
161577,8,2029,A,4,3,3,0,92,9.3,NA,21,156,161,6.9,2,2,41,100,NA,,E,IFN3,8_2029,IFN3_8_2029_A_4_3,IFN3_8_2029_0,8_2029_A_4,15.85,31.8309886183791,197.309690104115
161578,8,2029,A,4,4,4,0,121,4.1,NA,25,167,159,8.1,2,2,NA,100,NA,,E,IFN3,8_2029,IFN3_8_2029_A_4_4,IFN3_8_2029_0,8_2029_A_4,16.3,31.8309886183791,208.672438033068
161579,8,2029,A,4,5,5,0,192,9.9,NA,21,169,157,7.3,2,2,NA,100,NA,,E,IFN3,8_2029,IFN3_8_2029_A_4_5,IFN3_8_2029_0,8_2029_A_4,16.3,31.8309886183791,208.672438033068
161580,8,2029,A,4,6,6,0,195,6.2,NA,21,142,132,6.9,2,2,NA,100,NA,,E,IFN3,8_2029,IFN3_8_2029_A_4_6,IFN3_8_2029_0,8_2029_A_4,13.7,31.8309886183791,147.411381288067
161581,8,2029,A,4,7,7,0,236,1.3,NA,21,132,112,6.8,2,2,NA,100,NA,,E,IFN3,8_2029,IFN3_8_2029_A_4_7,IFN3_8_2029_0,8_2029_A_4,12.2,127.323954473516,116.898662640076
161582,8,2029,A,4,8,8,0,285,7.9,NA,25,126,128,8,2,2,NA,100,NA,,E,IFN3,8_2029,IFN3_8_2029_A_4_8,IFN3_8_2029_0,8_2029_A_4,12.7,31.8309886183791,126.676869774374
161583,8,2029,A,4,9,9,0,342,2,NA,21,142,159,6.9,2,5,NA,100,NA,,E,IFN3,8_2029,IFN3_8_2029_A_4_9,IFN3_8_2029_0,8_2029_A_4,15.05,31.8309886183791,177.894647504931
161584,8,2029,A,4,10,10,0,357,6.2,NA,21,136,142,8,2,2,NA,100,NA,,E,IFN3,8_2029,IFN3_8_2029_A_4_10,IFN3_8_2029_0,8_2029_A_4,13.9,31.8309886183791,151.746779150021
711340,25,647,A,1,1,1,0,18,16.5,NA,21,247,248,12,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_1,IFN3_25_647_0,25_647_A_1,24.75,14.1471060526129,481.105462466149
711341,25,647,A,1,2,2,0,35,11.2,NA,21,235,235,10,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_2,IFN3_25_647_0,25_647_A_1,23.5,14.1471060526129,433.736135736241
711342,25,647,A,1,3,3,1,50,5.1,NA,21,270,272,11,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_3,IFN3_25_647_1,25_647_A_1,27.1,14.1471060526129,576.80426518072
711343,25,647,A,1,4,4,0,56,12.5,NA,21,255,254,11,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_4,IFN3_25_647_0,25_647_A_1,25.45,14.1471060526129,508.704353927936
711344,25,647,A,1,5,5,2,77,3.4,NA,21,289,278,11.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_5,IFN3_25_647_2,25_647_A_1,28.35,14.1471060526129,631.242175381206
711345,25,647,A,1,6,6,0,88,15.1,NA,21,298,308,12,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_6,IFN3_25_647_0,25_647_A_1,30.3,14.1471060526129,721.066199833563
711346,25,647,A,1,7,7,0,110,12.5,NA,21,230,238,12.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_7,IFN3_25_647_0,25_647_A_1,23.4,14.1471060526129,430.052618349907
711347,25,647,A,1,8,8,3,110,5.6,NA,21,313,298,11,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_8,IFN3_25_647_3,25_647_A_1,30.55,14.1471060526129,733.014069394247
711348,25,647,A,1,9,9,0,129,11.6,NA,21,218,234,10.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_9,IFN3_25_647_0,25_647_A_1,22.6,14.1471060526129,401.149965936881
711349,25,647,A,1,10,10,0,141,11.3,NA,21,253,236,12.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_10,IFN3_25_647_0,25_647_A_1,24.45,14.1471060526129,469.512985574403
711350,25,647,A,1,11,11,4,168,4,NA,21,346,323,11.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_11,IFN3_25_647_4,25_647_A_1,33.45,14.1471060526129,878.783968520813
711351,25,647,A,1,12,12,0,170,13.2,NA,21,244,250,10.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_12,IFN3_25_647_0,25_647_A_1,24.7,14.1471060526129,479.163565507149
711352,25,647,A,1,13,13,0,175,13.4,NA,21,266,269,10.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_13,IFN3_25_647_0,25_647_A_1,26.75,14.1471060526129,562.001473296087
711353,25,647,A,1,14,14,0,177,16,NA,21,250,271,11,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_14,IFN3_25_647_0,25_647_A_1,26.05,14.1471060526129,532.973157176917
711354,25,647,A,1,15,15,0,195,15.2,NA,21,277,263,13.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_15,IFN3_25_647_0,25_647_A_1,27,14.1471060526129,572.55526111674
711355,25,647,A,1,16,16,0,212,14,NA,21,259,274,11.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_16,IFN3_25_647_0,25_647_A_1,26.65,14.1471060526129,557.807447103544
711356,25,647,A,1,17,17,5,220,4,NA,21,283,279,10.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_17,IFN3_25_647_5,25_647_A_1,28.1,14.1471060526129,620.158243800259
