"","Provincia","Estadillo","Clase","Subclase","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","rumbo","distancia","DRed","specie","dbh_1","dbh_2","height","quality","shape","special_param","Agente","Import","Elemento","Compara","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","IFN3_ID","dbh","expan","basal_area"
"161575",8,2029,"A","4",1,1,0,9,6.3,NA,21,126,141,7.3,2,2,NA,100,NA,"","E","IFN3","8_2029_A_4","IFN3_8_2029_A_4_1","IFN3_8_2029_0","8_2029_A_4",13.35,31.8309886183791,139.975624176102
"161576",8,2029,"A","4",2,2,0,46,4.6,NA,21,136,139,7.1,2,2,NA,100,NA,"","E","IFN3","8_2029_A_4","IFN3_8_2029_A_4_2","IFN3_8_2029_0","8_2029_A_4",13.75,31.8309886183791,148.48934026733
"161577",8,2029,"A","4",3,3,0,92,9.3,NA,21,156,161,6.9,2,2,41,100,NA,"","E","IFN3","8_2029_A_4","IFN3_8_2029_A_4_3","IFN3_8_2029_0","8_2029_A_4",15.85,31.8309886183791,197.309690104115
"161578",8,2029,"A","4",4,4,0,121,4.1,NA,25,167,159,8.1,2,2,NA,100,NA,"","E","IFN3","8_2029_A_4","IFN3_8_2029_A_4_4","IFN3_8_2029_0","8_2029_A_4",16.3,31.8309886183791,208.672438033068
"161579",8,2029,"A","4",5,5,0,192,9.9,NA,21,169,157,7.3,2,2,NA,100,NA,"","E","IFN3","8_2029_A_4","IFN3_8_2029_A_4_5","IFN3_8_2029_0","8_2029_A_4",16.3,31.8309886183791,208.672438033068
"161580",8,2029,"A","4",6,6,0,195,6.2,NA,21,142,132,6.9,2,2,NA,100,NA,"","E","IFN3","8_2029_A_4","IFN3_8_2029_A_4_6","IFN3_8_2029_0","8_2029_A_4",13.7,31.8309886183791,147.411381288067
"161581",8,2029,"A","4",7,7,0,236,1.3,NA,21,132,112,6.8,2,2,NA,100,NA,"","E","IFN3","8_2029_A_4","IFN3_8_2029_A_4_7","IFN3_8_2029_0","8_2029_A_4",12.2,127.323954473516,116.898662640076
"161582",8,2029,"A","4",8,8,0,285,7.9,NA,25,126,128,8,2,2,NA,100,NA,"","E","IFN3","8_2029_A_4","IFN3_8_2029_A_4_8","IFN3_8_2029_0","8_2029_A_4",12.7,31.8309886183791,126.676869774374
"161583",8,2029,"A","4",9,9,0,342,2,NA,21,142,159,6.9,2,5,NA,100,NA,"","E","IFN3","8_2029_A_4","IFN3_8_2029_A_4_9","IFN3_8_2029_0","8_2029_A_4",15.05,31.8309886183791,177.894647504931
"161584",8,2029,"A","4",10,10,0,357,6.2,NA,21,136,142,8,2,2,NA,100,NA,"","E","IFN3","8_2029_A_4","IFN3_8_2029_A_4_10","IFN3_8_2029_0","8_2029_A_4",13.9,31.8309886183791,151.746779150021
"719531",25,965,"A","1",1,1,1,7,9,NA,21,176,178,9,2,2,NA,100,NA,"","X","IFN3","25_965_A_1","IFN3_25_965_A_1_1","IFN3_25_965_1","25_965_A_1",17.7,31.8309886183791,246.057390610787
"719532",25,965,"A","1",2,2,2,15,5,NA,21,162,169,8,2,2,NA,100,NA,"","X","IFN3","25_965_A_1","IFN3_25_965_A_1_2","IFN3_25_965_2","25_965_A_1",16.55,31.8309886183791,215.12252044997
"719533",25,965,"A","1",3,3,0,61,8.9,NA,21,176,172,7.5,2,2,NA,100,NA,"","X","IFN3","25_965_A_1","IFN3_25_965_A_1_3","IFN3_25_965_0","25_965_A_1",17.4,31.8309886183791,237.787147950211
"719534",25,965,"A","1",4,4,3,86,4.3,NA,21,196,196,8.5,2,2,42,100,NA,"","X","IFN3","25_965_A_1","IFN3_25_965_A_1_4","IFN3_25_965_3","25_965_A_1",19.6,31.8309886183791,301.718558450764
"719535",25,965,"A","1",5,888,4,87,2.6,NA,21,88,90,0,6,NA,NA,200,3,"9","X","IFN3","25_965_A_1","IFN3_25_965_A_1_5","IFN3_25_965_4","25_965_A_1",8.9,127.323954473516,62.2113885227119
"719536",25,965,"A","1",6,5,5,88,3.9,NA,21,196,194,8,2,2,42,100,NA,"","X","IFN3","25_965_A_1","IFN3_25_965_A_1_6","IFN3_25_965_5","25_965_A_1",19.5,31.8309886183791,298.64765163188
